"";"Metabolite";"CAS";"SUPER_PATHWAY";"SUB_PATHWAY";"COMP_ID";"PUBCHEM";"KEGG";"HMDB";"CHEBI";"PLATFORM";"RI";"MASS";"manual_correction";"correction_tbl"
"252";"hippurate";"495-69-2";"Xenobiotics";"Benzoate metabolism";"15753";"464, 91637";"C01586";"HMDB0000714, HMDB0011723, HMDB0062583";"18089, 68455, 606565";"LC/MS Neg";"2136";"178.1";FALSE;NA
"253";"histamine";"51-45-6";"Amino acid";"Histidine metabolism";"1574";"774, 25201573";"C00388";"HMDB0000870, HMDB0060263";"18295, 58432";"GC/MS";"1808";"174.1";FALSE;NA
"254";"histidine";"5934-29-2";"Amino acid";"Histidine metabolism";"59";"6274, 86580368, 773";"C00135";"HMDB0000177, HMDB0003412";"15971, 57595, 32513, 27570, 27947";"LC/MS Neg";"757";"154.1";FALSE;NA
"255";"histidylleucine";"7763-65-7";"Peptide";"Dipeptide";"40061";"189008, 440549";"C05010";"HMDB0028889, HMDB0253179";"5729, 147392";"LC/MS Pos";"1482";"269.2";FALSE;NA
"256";"histidylmethionine";"2488-11-1";"None";"None";"41965";"7408103";NA;"HMDB0028891";"74053";"LC/MS Pos";"1025";"287.2";FALSE;NA
"257";"1-stearoylglycerophosphoinositol";"796963-93-4";"Lipid";"Lysolipid";"19324";NA;NA;NA;NA;"LC/MS Neg";"5800";"599.4";FALSE;NA
"258";"histidylphenylalanine";"16874-81-0";"Peptide";"Dipeptide";"42084";"152198";NA;"HMDB0028892";"141438";"LC/MS Pos";"1730";"303.2";FALSE;NA
"259";"histidyltryptophan";"23403-90-9";"Peptide";"Dipeptide";"41912";"6539217";NA;"HMDB0304782";NA;"LC/MS Pos";"1961";"342.2";FALSE;NA
"260";"histidyltyrosine";"35979-00-1";"Peptide";"Dipeptide";"41899";"515713";NA;"HMDB0028897";"74059";"LC/MS Pos";"1253";"319.2";FALSE;NA
"261";"homocysteine";"454-29-5";"Amino acid";"Cysteine, methionine, SAM, taurine metabolism";"40266";"91552, 778, 6971015";"C00155, C05330";"HMDB0000742, HMDB0000165";"17588, 17230, 58065, 58199";"GC/MS";"1648.2";"234";FALSE;NA
"262";"homoserine";"672-15-1";"Amino acid";"Glycine, serine and threonine metabolism";"23642";"12647";"C00263";"HMDB0000719";"15699, 57476";"GC/MS";"1471";"218.1";FALSE;NA
"263";"homostachydrine*";"1195-94-4";"Xenobiotics";"Food component/Plant";"33009";"441447, 4479243";"C08283";"HMDB0033433, HMDB0304552";"5757";"LC/MS Pos";"1199";"158.19999999999999";FALSE;NA
"264";"hydantoin-5-propionic acid";"5624-26-0";"Amino acid";"Histidine metabolism";"40473";"782";"C05565";"HMDB0001212";"28297";"LC/MS Neg";"762";"171.3";FALSE;NA
"265";"hydrochlorothiazide";"58-93-5";"Xenobiotics";"Drug";"39625";"3639";"C07041";"HMDB0001928";"5778";"LC/MS Neg";"2041.6";"296.10000000000002";FALSE;NA
"266";"hypotaurine";"300-84-5";"Amino acid";"Cysteine, methionine, SAM, taurine metabolism";"590";"107812";"C00519";"HMDB0000965";"16668, 57853";"GC/MS";"1598.5";"188";FALSE;NA
"267";"hypoxanthine";"68-94-0";"Nucleotide";"Purine metabolism, (hypo)xanthine/inosine containing";"3127";"790";"C00262";"HMDB0000157";"17368";"LC/MS Neg";"1313";"135.1";FALSE;NA
"268";"10-heptadecenoate (17:1n7)";"29743-97-3";"Lipid";"Long chain fatty acid";"33971";"5312435";NA;"HMDB0060038, HMDB0062542";"75094";"LC/MS Neg";"5558";"267.3";FALSE;NA
"269";"imidazole propionate";"1074-59-5";"Amino acid";"Histidine metabolism";"40730";"70630";"C20522";"HMDB0002271";"73087, 72991";"LC/MS Pos";"1011.7";"141.1";FALSE;NA
"270";"indoleacetate";"6505-45-9";"Amino acid";"Tryptophan metabolism";"27513";"802, 801";"C00954";"HMDB0000197, HMDB0302181";"16411, 30854";"GC/MS";"1862";"202";FALSE;NA
"271";"indolelactate";"832-97-3";"Amino acid";"Tryptophan metabolism";"18349";"676157";"C02043";"HMDB0000671";NA;"GC/MS";"1964.9";"202";FALSE;NA
"272";"inosine";"58-63-9";"Nucleotide";"Purine metabolism, (hypo)xanthine/inosine containing";"1123";"6021";"C00294";"HMDB0000195";"17596";"LC/MS Neg";"1600";"267.2";FALSE;NA
"273";"inositol 1-phosphate (I1P)";"106032-59-1";"Lipid";"Inositol metabolism";"1481";NA;"C01177";"HMDB0000213";"18297, 58433";"GC/MS";"2057.8000000000002";"318.10000000000002";FALSE;NA
"274";"isobutyrylcarnitine";"25518-49-4";"Amino acid";"Valine, leucine and isoleucine metabolism";"33441";"168379, 10177002";NA;"HMDB0000736, HMDB0002083, HMDB0062556, HMDB0062606";"84838, 73017";"LC/MS Pos";"1941";"232.2";FALSE;NA
"275";"isoleucine";"73-32-5";"Amino acid";"Valine, leucine and isoleucine metabolism";"1125";"6306, 99288";"C00407";"HMDB0000172, HMDB0000557";"17191, 58045, 22359, 24898, 38264, 43433";"LC/MS Pos";"1614";"132.1";FALSE;NA
"276";"isoleucylalanine";"24787-73-3";"Peptide";"Dipeptide";"40046";"7009577";NA;NA;NA;"LC/MS Pos";"1686";"203.2";FALSE;NA
"277";"isoleucylarginine";"55715-01-0";"Peptide";"Dipeptide";"40071";"9900561";NA;"HMDB0028901";NA;"LC/MS Pos";"1245";"288.2";FALSE;NA
"278";"isoleucylglutamate";"42516-53-0";"Peptide";"Dipeptide";"40057";NA;NA;NA;NA;"LC/MS Pos";"1650";"261.2";FALSE;NA
"279";"10-nonadecenoate (19:1n9)";"73033-09-7";"Lipid";"Long chain fatty acid";"33972";"5312513";NA;"HMDB0013622, HMDB0062543, HMDB0062658";"83051";"LC/MS Neg";"5775";"295.39999999999998";FALSE;NA
"280";"isoleucylglycine";"868-28-0";"Peptide";"Dipeptide";"40008";"342532";NA;"HMDB0028907";NA;"LC/MS Pos";"1732";"189.2";FALSE;NA
"281";"isoleucylhistidine";NA;"Peptide";"Dipeptide";"40085";NA;NA;NA;NA;"LC/MS Pos";"1021";"269.2";FALSE;NA
"282";"isoleucylisoleucine";"42537-99-5";"Peptide";"Dipeptide";"36761";NA;NA;NA;NA;"LC/MS Pos";"2678";"245.1";FALSE;NA
"283";"isoleucylmethionine";"42384-14-5";"Peptide";"Dipeptide";"40058";NA;NA;NA;NA;"LC/MS Pos";"2392";"263.2";FALSE;NA
"284";"isoleucylphenylalanine";"22951-98-0";"Peptide";"Dipeptide";"40067";"435728";NA;"HMDB0028914";NA;"LC/MS Pos";"3155";"279.2";FALSE;NA
"285";"isoleucylserine";"6403-14-1";"Peptide";"Dipeptide";"40012";NA;NA;NA;NA;"LC/MS Pos";"1472.5";"219.2";FALSE;NA
"286";"isoleucyltryptophan";"13589-06-5";"Peptide";"Dipeptide";"40079";"9797038";NA;"HMDB0028918";NA;"LC/MS Pos";"3080";"318.2";FALSE;NA
"287";"isoleucyltyrosine";"38579-21-4";"Peptide";"Dipeptide";"40073";"342468";NA;"HMDB0028919";NA;"LC/MS Pos";"2300";"295.2";FALSE;NA
"288";"isoleucylvaline";"41017-96-3";"Peptide";"Dipeptide";"40049";"449407";NA;NA;NA;"LC/MS Pos";"2202";"231.2";FALSE;NA
"289";"isovalerylcarnitine";NA;"Amino acid";"Valine, leucine and isoleucine metabolism";"34407";"6426851";NA;"HMDB0000688";"73025";"LC/MS Pos";"2533";"246.2";FALSE;NA
"290";"13-HODE + 9-HODE";NA;"Lipid";"Fatty acid, monohydroxy";"37752";NA;NA;NA;NA;"LC/MS Neg";"5247";"295.2";FALSE;NA
"291";"kynurenine";"2922-83-0";"Amino acid";"Tryptophan metabolism";"15140";"161166, 846";"C00328";"HMDB0000684, HMDB0000183";"16946, 57959, 28683, 86262";"LC/MS Pos";"1902";"209.1";FALSE;NA
"292";"lactate";"79-33-4";"Carbohydrate";"Glycolysis, gluconeogenesis, pyruvate metabolism";"527";"107689, 5460161";"C00186";"HMDB0000190, HMDB0003328, HMDB0062492";"422, 16651";"GC/MS";"1102.8";"116.9";FALSE;NA
"293";"laurate (12:0)";"143-07-7";"Lipid";"Medium chain fatty acid";"1645";"3893";"C02679";"HMDB0000638";"30805, 18262";"LC/MS Neg";"5288";"199.3";FALSE;NA
"294";"laurylcarnitine";NA;"Lipid";"Carnitine metabolism";"34534";"10427569, 168381";NA;"HMDB0002250, HMDB0062713";"73054, 77086";"LC/MS Pos";"5066";"344.3";TRUE;"completely_incompatible_manual_no_cas"
"295";"leucine";"61-90-5";"Amino acid";"Valine, leucine and isoleucine metabolism";"60";"6106, 5255803, 857, 439524";"C00123";"HMDB0000687, HMDB0013773";"15603, 57427, 25017, 28225";"LC/MS Pos";"1674";"132.19999999999999";FALSE;NA
"296";"leucylalanine";"7298-84-2";"Peptide";"Dipeptide";"40010";"81721";NA;"HMDB0028922";"73527";"LC/MS Pos";"1760";"203.2";FALSE;NA
"297";"leucylarginine";"26607-15-8";"Peptide";"Dipeptide";"40028";"3800205";NA;"HMDB0028923";NA;"LC/MS Pos";"1300";"288.2";FALSE;NA
"298";"leucylasparagine";"14608-81-2";"Peptide";"Dipeptide";"40052";"4128305";NA;"HMDB0028924";NA;"LC/MS Pos";"1418";"246.2";FALSE;NA
"299";"leucylglutamate";NA;"Peptide";"Dipeptide";"40021";"5259589, 5259590";NA;"HMDB0028928";NA;"LC/MS Pos";"1716";"261.2";TRUE;"completely_incompatible_manual_no_cas"
"300";"leucylglycine";"686-50-0";"Peptide";"Dipeptide";"40045";"79070";NA;"HMDB0028929";NA;"LC/MS Pos";"1800";"189.2";FALSE;NA
"301";"15-methylpalmitate (isobar with 2-methylpalmitate)";NA;"Lipid";"Fatty acid, branched";"38768";NA;NA;NA;NA;"LC/MS Neg";"5698";"269.39999999999998";FALSE;NA
"302";"leucylhistidine";"38062-72-5";"Peptide";"Dipeptide";"40077";"341684";NA;"HMDB0028931";NA;"LC/MS Pos";"1056";"269.2";FALSE;NA
"303";"leucylleucine";"3303-31-9";"Peptide";"Dipeptide";"36756";"94244";"C11332";"HMDB0028933, HMDB0254039";"73531, 6418, 191208";"LC/MS Pos";"3012";"245.1";FALSE;NA
"304";"leucylmethionine";"36077-39-1";"Peptide";"Dipeptide";"40022";"118276";NA;"HMDB0028935";NA;"LC/MS Pos";"2504";"263.2";FALSE;NA
"305";"leucylphenylalanine";"3063-05-6";"Peptide";"Dipeptide";"40026";"259325";NA;"HMDB0302841";NA;"LC/MS Pos";"3308";"279.2";FALSE;NA
"306";"leucylserine";"6209-12-7";"Peptide";"Dipeptide";"40048";"3621685";NA;"HMDB0028938";NA;"LC/MS Pos";"1519.7";"219.2";FALSE;NA
"307";"leucyltryptophan";"5156-22-9";"Peptide";"Dipeptide";"40034";"329275";NA;"HMDB0028940";"174310";"LC/MS Pos";"3216";"318.2";FALSE;NA
"308";"leucyltyrosine";"968-21-8";"Peptide";"Dipeptide";"40030";"273262";NA;"HMDB0028941";NA;"LC/MS Pos";"2413";"295.2";FALSE;NA
"309";"lidocaine";"137-58-6";"Xenobiotics";"Drug";"35661";"3676";"C07073";"HMDB0014426";"6456";"LC/MS Pos";"2761";"235.2";FALSE;NA
"310";"linoleate (18:2n6)";"60-33-3";"Lipid";"Essential fatty acid";"1105";"5280450";"C01595";"HMDB0000673";"17351, 30245";"LC/MS Neg";"5533";"279.3";FALSE;NA
"311";"linolenate [alpha or gamma, (18:3n3 or 6)]";NA;"Lipid";"Essential fatty acid";"34035";"5280934, 5282822";"C06427";"HMDB0001388";"27432, 32387";"LC/MS Neg";"5450";"277.3";FALSE;NA
"312";"16-hydroxypalmitate";"506-13-8";"Lipid";"Fatty acid, monohydroxy";"39609";"10466";"C18218";"HMDB0006294, HMDB0155887";"55328, 55329";"LC/MS Neg";"5232";"271.3";FALSE;NA
"313";"lipitor";"134523-03-8";"Xenobiotics";"Drug";"38619";"60823";"C06834";"HMDB0005006";"39548";"LC/MS Neg";"5091.5";"557.29999999999995";FALSE;NA
"314";"lysine";"56-87-1";"Amino acid";"Lysine metabolism";"1301";"5962, 641599, 57449, 866";"C00047";"HMDB0000182, HMDB0062809, HMDB0003405";"18019, 32551, 16855, 25094";"LC/MS Pos";"603";"147.19999999999999";FALSE;NA
"315";"lysylleucine";"7369-79-1";"Peptide";"Dipeptide";"40020";"7016103";NA;"HMDB0028955";"74561";"LC/MS Pos";"1546";"260.2";FALSE;NA
"316";"lysyllysine";"13184-13-9";"None";"None";"42090";"4293571";NA;"HMDB0304785";NA;"LC/MS Pos";"533";"138.19999999999999";FALSE;NA
"317";"lysylmethionine";"97729-52-7";"Peptide";"Dipeptide";"41943";"7016114";NA;"HMDB0028957";"74566";"LC/MS Pos";"1013.1";"278.2";FALSE;NA
"318";"lysyltyrosine";"35978-98-4";"Peptide";"Dipeptide";"42089";"7021820";NA;"HMDB0028963";"73608";"LC/MS Pos";"1310";"310.3";FALSE;NA
"319";"malate";"6915-15-7";"Energy";"Krebs cycle";"1303";"222656, 5459792, 525, 160434";"C00149";"HMDB0000156, HMDB0000744";"30797, 15589, 6650, 15595";"GC/MS";"1502";"233";FALSE;NA
"320";"malonylcarnitine";NA;"Lipid";"Fatty acid synthesis";"37059";"91825606, 22833583";NA;"HMDB0002095, HMDB0062496, HMDB0062592";"85470, 86047";"LC/MS Pos";"980";"248.1";FALSE;NA
"321";"maltohexaose";"34620-77-4";"Carbohydrate";"Fructose, mannose, galactose, starch, and sucrose metabolism";"35170";"5288409";"C01936";"HMDB0012253";"61953";"LC/MS Neg";"1224";"989.1";FALSE;NA
"322";"maltopentaose";"34620-76-3";"Carbohydrate";"Fructose, mannose, galactose, starch, and sucrose metabolism";"35163";"13489094, 3710145";"C06218";"HMDB0012254, HMDB0249794";"61952";"LC/MS Neg";"1100";"827.1";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"323";"2'-deoxyadenosine 3'-monophosphate";"102832-10-0";"Nucleotide";"Purine metabolism, adenine containing";"40663";"1467";NA;"HMDB0245534";NA;"LC/MS Pos";"1383.5";"332.1";FALSE;NA
"324";"maltose";"6363-53-7";"Carbohydrate";"Fructose, mannose, galactose, starch, and sucrose metabolism";"15804";"10991489, 439341";"C00208, C00897";"HMDB0000163, HMDB0037138";"18167, 47937";"GC/MS";"2176.1999999999998";"204.1";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"325";"maltotetraose";"34612-38-9";"Carbohydrate";"Oligosaccharide";"15910";"439639, 25147451, 870";"C02052, C00464";"HMDB0001296, HMDB0029931, HMDB0252767";"143180, 28808";"LC/MS Neg";"965";"665.1";FALSE;NA
"326";"maltotriose";"1109-28-0";"Carbohydrate";"Fructose, mannose, galactose, starch, and sucrose metabolism";"15877";"439586, 192826, 62698";"C01835, C00721, C00420";"HMDB0001262, HMDB0006857, HMDB0038852";"140999, 27931";"GC/MS";"2419";"204";FALSE;NA
"327";"mannitol";"69-65-8";"Carbohydrate";"Fructose, mannose, galactose, starch, and sucrose metabolism";"15335";"6251";"C00392";"HMDB0000765, HMDB0001363";"16899";"GC/MS";"1839";"319.10000000000002";FALSE;NA
"328";"mannose";"3458-28-4";"Carbohydrate";"Fructose, mannose, galactose, starch, and sucrose metabolism";"584";"185698, 18950";"C00159, C00936";"HMDB0000169";"28729, 4208";"GC/MS";"1753.5";"203.9";TRUE;"completely_incompatible_manual_with_cas"
"329";"mannose-6-phosphate";"70442-25-0, 104872-94-8";"Carbohydrate";"Fructose, mannose, galactose, starch, and sucrose metabolism";"1469";"439198, 65127, 23421200";"C00275";"HMDB0001078, HMDB0304312";"49728, 48066, 58735";"GC/MS";"2004.6";"387.1";FALSE;NA
"330";"margarate (17:0)";"506-12-7";"Lipid";"Long chain fatty acid";"1121";"10465";NA;"HMDB0002259";"32365, 32366";"LC/MS Neg";"5733";"269.3";FALSE;NA
"331";"metformin";"1115-70-4";"Xenobiotics";"Drug";"39972";"4091";"C07151";"HMDB0001921";"6801";"GC/MS";"1746.4";"284.10000000000002";FALSE;NA
"332";"methionine";"63-68-3";"Amino acid";"Cysteine, methionine, SAM, taurine metabolism";"1302";"6137, 876";"C00073";"HMDB0000696";"16643, 57844, 16811, 16867";"LC/MS Pos";"1252";"150.1";FALSE;NA
"333";"methionylalanine";"3061-96-9";"Peptide";"Dipeptide";"40685";NA;NA;NA;NA;"LC/MS Pos";"1500";"221.1";FALSE;NA
"334";"1-arachidonoylglycerophosphocholine*";NA;"Lipid";"Lysolipid";"33228";NA;"C05208";NA;NA;"LC/MS Pos";"5554";"544.29999999999995";FALSE;NA
"335";"2'-deoxycytidine 3'-monophosphate";"6220-63-9";"Nucleotide";"Pyrimidine metabolism, cytidine containing";"40453";"3274948";NA;"HMDB0062545";NA;"LC/MS Pos";"1048";"308";FALSE;NA
"336";"methionylasparagine";"36261-61-7";"Peptide";"Dipeptide";"40686";"333467";NA;"HMDB0028968";NA;"LC/MS Pos";"1060.3";"264.10000000000002";FALSE;NA
"337";"methionylaspartate";"14595-65-4";"None";"None";"40687";NA;NA;NA;NA;"LC/MS Pos";"1275.3";"265.10000000000002";FALSE;NA
"338";"methionylglutamate";"14517-44-3";"Peptide";"Dipeptide";"40693";NA;NA;NA;NA;"LC/MS Pos";"1503";"279.10000000000002";FALSE;NA
"339";"methionylglycine";"14486-03-4";"Peptide";"Dipeptide";"40717";"259185";NA;"HMDB0028973";"174028";"LC/MS Pos";"1478";"207.1";FALSE;NA
"340";"methionylleucine";"14486-16-9";"Peptide";"Dipeptide";"40023";"3425788";NA;"HMDB0028977";NA;"LC/MS Pos";"2698";"263.2";FALSE;NA
"341";"methionylphenylalanine";"14492-14-9";"Peptide";"Dipeptide";"41441";"100048";NA;"HMDB0028980";NA;"LC/MS Pos";"3042";"297.2";FALSE;NA
"342";"methyl-alpha-glucopyranoside";"97-30-3";"Xenobiotics";"Chemical";"20714";"64947";"C02603";NA;NA;"LC/MS Pos";"1087";"212.1";TRUE;"completely_incompatible_manual_with_cas"
"343";"methylglutaroylcarnitine";NA;"Amino acid";"Valine, leucine and isoleucine metabolism";"37060";"128145";NA;"HMDB0000552";"70857";"LC/MS Pos";"1900";"290.10000000000002";FALSE;NA
"344";"methylphosphate";"7023-27-0";"Nucleotide";"Purine and pyrimidine metabolism";"37070";"13130";NA;"HMDB0061711";"340824";"GC/MS";"1221";"240.9";FALSE;NA
"345";"metoprolol";"56392-17-7";"Xenobiotics";"Drug";"18037";"4171";"C07202";"HMDB0001932";"6904";"LC/MS Pos";"3205";"268.2";FALSE;NA
"346";"2'-deoxyguanosine";"961-07-9";"Nucleotide";"Purine metabolism, guanine containing";"1411";"187790, 135398592";"C00330";"HMDB0000085";"17172";"LC/MS Pos";"1728";"268";FALSE;NA
"347";"metoprolol acid metabolite*";NA;"Xenobiotics";"Drug";"34109";"62936";NA;"HMDB0254682";"83478";"LC/MS Pos";"2535";"268.2";FALSE;NA
"348";"myo-inositol";"87-89-8";"Lipid";"Inositol metabolism";"19934";NA;"C00137";"HMDB0000211, HMDB0002256";"17268";"GC/MS";"1924.9";"217";FALSE;NA
"349";"myristate (14:0)";"544-63-8";"Lipid";"Long chain fatty acid";"1365";"11005";"C06424";"HMDB0000806";"28875, 30807";"LC/MS Neg";"5439";"227.3";FALSE;NA
"350";"myristoleate (14:1n5)";"544-64-9";"Lipid";"Long chain fatty acid";"32418";"5281119";"C08322";"HMDB0002000";"27781, 32370";"LC/MS Neg";"5338";"225.3";FALSE;NA
"351";"myristoylcarnitine";"18822-89-4";"Lipid";"Carnitine metabolism";"33952";"6426854";NA;"HMDB0254979";"73061";"LC/MS Pos";"5113";"372.4";FALSE;NA
"352";"naproxen";"22204-53-1";"Xenobiotics";"Drug";"12122";"156391";"C01517";"HMDB0001923";"7476";"LC/MS Neg";"4168";"228.9";FALSE;NA
"353";"nervonate (24:1n9)";"506-37-6";"Lipid";"Long chain fatty acid";"41820";"5281120";"C08323";"HMDB0002368, HMDB0303950";"44247, 32392";"GC/MS";"2201";"423.4";FALSE;NA
"354";"nicotinamide";"98-92-0";"Cofactors and vitamins";"Nicotinate and nicotinamide metabolism";"594";"936";"C00153";"HMDB0001406";"17154";"LC/MS Pos";"1267";"123.1";FALSE;NA
"355";"nicotinamide adenine dinucleotide (NAD+)";"53-84-9";"Cofactors and vitamins";"Nicotinate and nicotinamide metabolism";"5278";"5892, 5893, 925";"C00003";"HMDB0000902, HMDB0249146";"44215, 15846, 13389";"LC/MS Pos";"1370";"664";FALSE;NA
"356";"nicotinamide adenine dinucleotide reduced (NADH)";"58-68-4, 606-68-8";"Cofactors and vitamins";"Nicotinate and nicotinamide metabolism";"31475";"439153";"C00004";"HMDB0001487";"16908";"LC/MS Neg";"1554";"664.1";FALSE;NA
"357";"2'-deoxyinosine";"890-38-0";"Nucleotide";"Purine metabolism, (hypo)xanthine/inosine containing";"15076";"65058";"C05512";"HMDB0000071";"28997";"LC/MS Neg";"1700";"251.1";FALSE;NA
"358";"nicotinamide ribonucleotide (NMN)";"1094-61-7";"Cofactors and vitamins";"Nicotinate and nicotinamide metabolism";"22152";"14181, 14180, 23617374";"C00455";"HMDB0000229, HMDB0059645";"14648, 16171, 14649";"LC/MS Pos";"886";"335.1";FALSE;NA
"359";"nicotinamide riboside*";"1341-23-7";"Cofactors and vitamins";"Nicotinate and nicotinamide metabolism";"33013";"439924";"C03150";"HMDB0000855";"15927";"LC/MS Pos";"955";"255.1";FALSE;NA
"360";"nicotinate";"59-67-6";"Cofactors and vitamins";"Nicotinate and nicotinamide metabolism";"1504";"938, 937";"C00253";"HMDB0001488";"15940, 32544";"LC/MS Neg";"1221";"122.1";FALSE;NA
"361";"nicotinate adenine dinucleotide (NAAD+)";"6450-77-7, 104809-30-5";"Cofactors and vitamins";"Nicotinate and nicotinamide metabolism";"15725";NA;NA;NA;NA;"LC/MS Neg";"1236";"662.9";FALSE;NA
"362";"octanoylcarnitine";"3671-77-0";"Lipid";"Carnitine metabolism";"33936";"123701";NA;NA;"73039";"LC/MS Pos";"4100";"288.3";FALSE;NA
"363";"oleate (18:1n9)";"112-80-1";"Lipid";"Long chain fatty acid";"1359";"445639, 42607286, 5460221";"C00712";"HMDB0000207, HMDB0002066";"16196, 30823";"GC/MS";"1984.4";"339.2";FALSE;NA
"364";"oleoylcarnitine";NA;"Lipid";"Carnitine metabolism";"35160";"46907933";NA;"HMDB0005065, HMDB0062772";"84651";"LC/MS Pos";"5202";"426.4";FALSE;NA
"365";"ophthalmate";"495-27-2";"Amino acid";"Glutathione metabolism";"34592";"7018721";NA;"HMDB0005765";"84058";"LC/MS Neg";"920";"288.10000000000002";FALSE;NA
"366";"ornithine";"3184-13-2";"Amino acid";"Urea cycle, arginine-, proline-, metabolism";"1493";"6262, 6992088, 59565831, 71082, 389";"C00077, C00515";"HMDB0000214, HMDB0000818, HMDB0004984, HMDB0003374";"15729, 46911, 16176, 18257, 57668";"GC/MS";"1763.8";"141.9";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"367";"p-acetamidophenylglucuronide";"120595-80-4";"Xenobiotics";"Drug";"33423";"4022661, 83944";NA;"HMDB0010316, HMDB0247905";"32636, 132962";"LC/MS Neg";"1377";"326.1";TRUE;"completely_incompatible_manual_with_cas"
"368";"2-aminoadipate";"542-32-5, 1118-90-7";"Amino acid";"Lysine metabolism";"6146";"92136, 469, 5460399";"C00956";"HMDB0000510, HMDB0302754";"37023, 37024, 58672, 17082, 37025";"GC/MS";"1686.5";"260.10000000000002";FALSE;NA
"369";"p-cresol sulfate";"3233-57-7";"Amino acid";"Phenylalanine & tyrosine metabolism";"36103";"2879";"C01468";"HMDB0001858, HMDB0013762";"17847";"LC/MS Neg";"2896";"187.1";FALSE;NA
"370";"palmitate (16:0)";"57-10-3";"Lipid";"Long chain fatty acid";"1336";"985, 504166";"C00249";"HMDB0000220, HMDB0060083";"15756, 7896";"LC/MS Neg";"5619";"255.3";FALSE;NA
"371";"palmitoleate (16:1n7)";"373-49-9";"Lipid";"Long chain fatty acid";"33447";"445638, 5282745";"C08362";"HMDB0003229, HMDB0012328, HMDB0060082";"28716, 59265, 32372";"LC/MS Neg";"5477";"253.3";FALSE;NA
"372";"palmitoyl sphingomyelin";NA;"Lipid";"Sphingolipid";"37506";"9939941";NA;"HMDB0010169, HMDB0012098, HMDB0061712";"78646";"GC/MS";"2524";"311.3";FALSE;NA
"373";"palmitoylcarnitine";"6865-14-1";"Lipid";"Carnitine metabolism";"22189";"461";NA;"HMDB0240783";"73067";"LC/MS Pos";"5179";"400.4";FALSE;NA
"374";"pantothenate";"137-08-6";"Cofactors and vitamins";"Pantothenate and CoA metabolism";"1508";"6613, 988, 167945";"C00864";"HMDB0000210, HMDB0250782, HMDB0062717";"46905, 7916, 29032";"LC/MS Pos";"2218";"220.1";FALSE;NA
"375";"paroxetine";"110429-49-8";"Xenobiotics";"Drug";"40461";"43815";"C07415";"HMDB0014853";"7936";"LC/MS Pos";"4222";"330.2";FALSE;NA
"376";"pelargonate (9:0)";"112-05-0";"Lipid";"Medium chain fatty acid";"12035";"8158";"C01601";"HMDB0000847";"29019, 32361";"LC/MS Neg";"4847";"157.19999999999999";FALSE;NA
"377";"penicillin G";"69-57-8";"Xenobiotics";"Drug";"37468";"5904";"C05551";"HMDB0015186";"18208, 51354";"LC/MS Pos";"3314";"335.2";FALSE;NA
"378";"pentadecanoate (15:0)";"1002-84-2";"Lipid";"Long chain fatty acid";"1361";"13849";"C16537";"HMDB0000826";"42504, 78795";"GC/MS";"1853.5";"299.2";FALSE;NA
"379";"2-aminobutyrate";"1492-24-6";"Amino acid";"Butanoate metabolism";"1577";"439691, 80283, 6657";"C02261";"HMDB0000452, HMDB0000650";"28797, 35619, 35621";"GC/MS";"1215.7";"130";FALSE;NA
"380";"phenol red";"143-74-8";"Xenobiotics";"Chemical";"36817";"4766";"C12600";NA;"31991";"LC/MS Neg";"3650";"353.1";TRUE;"completely_incompatible_manual_with_cas"
"381";"phenol sulfate";"937-34-8";"Amino acid";"Phenylalanine & tyrosine metabolism";"32553";"74426";"C02180";"HMDB0060015";"27905";"LC/MS Neg";"2150";"173.1";FALSE;NA
"382";"phenylacetylglutamine";"28047-15-6";"Amino acid";"Phenylalanine & tyrosine metabolism";"35126";"306137, 92258";"C04148, C05597";"HMDB0006344, HMDB0062645";"17884, 58310, 8087";"LC/MS Pos";"2868";"265.2";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"383";"phenylalanine";"63-91-2";"Amino acid";"Phenylalanine & tyrosine metabolism";"64";"6140, 994";"C00079";"HMDB0000159, HMDB0000612";"17295, 58095, 16998, 28044";"LC/MS Pos";"2056";"166.1";FALSE;NA
"384";"phenylalanylalanine";"3918-87-4";"Peptide";"Dipeptide";"41374";"5488196";NA;"HMDB0028988";"73630";"LC/MS Pos";"2047.6";"237.1";FALSE;NA
"385";"phenylalanylarginine";"1238-09-1";"Peptide";"Dipeptide";"41487";"10268029";NA;"HMDB0028989";"73632, 133147";"LC/MS Pos";"1553";"322.2";FALSE;NA
"386";"phenylalanylaspartate";"22828-05-3";"Peptide";"Dipeptide";"41419";"6992643";NA;"HMDB0028991";"73631";"LC/MS Pos";"1901";"281.10000000000002";FALSE;NA
"387";"phenylalanylglutamate";"3617-45-6";"Peptide";"Dipeptide";"41432";"151134";NA;"HMDB0028994";"74712";"LC/MS Pos";"2005";"295.2";FALSE;NA
"388";"phenylalanylglycine";"721-90-4";"Peptide";"Dipeptide";"41370";"98207";NA;"HMDB0304788";NA;"LC/MS Neg";"2460.8000000000002";"221.1";FALSE;NA
"389";"phenylalanylleucine";"3303-55-7";"Peptide";"Dipeptide";"40192";"4078229";NA;"HMDB0253025";NA;"LC/MS Pos";"3252";"279.2";FALSE;NA
