"";"Metabolite";"CAS";"SUPER_PATHWAY";"SUB_PATHWAY";"COMP_ID";"PLATFORM";"RI";"MASS";"PUBCHEM";"KEGG";"HMDB";"CHEBI";"manual_correction";"correction_tbl"
"235";"1-stearoylglycerophosphocholine";"19420-57-6";"Lipid";"Lysolipid";"33961";"LC/MS Pos";"5844";"524.4";"10415542, 11757087, 24779456, 24779458, 24779461, 24779463, 24779473, 24779476, 24779479, 24779481, 24779513, 24779527, 460602, 497299, 52924039, 52924045, 52924051, 52924053, 52924059, 53480465, 53480467, 53480469, 53480471, 53480473, 53480475, 53480477";"C04230";"HMDB0010380, HMDB0010381, HMDB0010382, HMDB0010383, HMDB0010384, HMDB0010385, HMDB0010387, HMDB0010390, HMDB0010391, HMDB0010392, HMDB0010393, HMDB0010395, HMDB0010396, HMDB0010397, HMDB0010398, HMDB0010399, HMDB0010400, HMDB0010401, HMDB0010402, HMDB0010403, HMDB0010404, HMDB0010405, HMDB0010406, HMDB0010408, HMDB0012108, HMDB0013122, HMDB0062541, HMDB0094688, HMDB0258493";"CHEBI:131924, CHEBI:133657, CHEBI:133662, CHEBI:133734, CHEBI:183975, CHEBI:72998, CHEBI:73794, CHEBI:73851, CHEBI:73858, CHEBI:73873, CHEBI:74340, CHEBI:74343, CHEBI:74344, CHEBI:74348, CHEBI:74968, CHEBI:83055, CHEBI:84753, CHEBI:86255, CHEBI:86259, CHEBI:86260, CHEBI:88684, CHEBI:88685, CHEBI:88686, CHEBI:88698, CHEBI:88948, CHEBI:88952";FALSE;NA
"236";"glycyllysine";"31461-63-9";"Peptide";"Dipeptide";"41529";"GC/MS";"2088.3000000000002";"174.1";"306144";NA;"HMDB0028846";NA;FALSE;NA
"237";"glycylmethionine";"554-94-9";"Peptide";"Dipeptide";"42012";"LC/MS Pos";"1593";"207.1";"96757";NA;"HMDB0028847";NA;FALSE;NA
"238";"glycylphenylalanine";"51-907-7";"Peptide";"Dipeptide";"33954";"LC/MS Neg";"2193";"221.2";"1549344, 92953";NA;NA;NA;TRUE;"completely_incompatible_manual_with_cas"
"239";"glycylproline";"704-15-4";"Peptide";"Dipeptide";"22171";"LC/MS Pos";"1115";"173.1";"3013625";NA;"HMDB0000721";"CHEBI:70744, CHEBI:73779";FALSE;NA
"240";"glycylthreonine";"7093-70-1";"Peptide";"Dipeptide";"42050";"GC/MS";"1911.1";"174.1";"351980";NA;"HMDB0028851";NA;FALSE;NA
"241";"glycyltryptophan";NA;"Peptide";"Dipeptide";"38151";"LC/MS Pos";"2542";"262.4";"1551340, 92181";NA;NA;NA;TRUE;"completely_incompatible_manual_no_cas"
"242";"glycyltyrosine";"658-79-7";"Peptide";"Dipeptide";"33958";"LC/MS Pos";"1728";"239.1";"92829";NA;"HMDB0028853";"CHEBI:73517";FALSE;NA
"243";"glycylvaline";"1963-21-9";"Peptide";"Dipeptide";"18357";"LC/MS Pos";"1572";"175.1";"2724807";NA;"HMDB0028854";"CHEBI:73922";FALSE;NA
"244";"guanidinoacetate";"352-97-6";"Amino acid";"Guanidino and acetamido metabolism";"12359";"GC/MS";"1696.6";"172";"763";"C00581";"HMDB0000128";"CHEBI:16344, CHEBI:57742";FALSE;NA
"245";"guanine";"73-40-5";"Nucleotide";"Purine metabolism, guanine containing";"418";"GC/MS";"1942.3";"352.1";"764";"C00242";"HMDB0000132";"CHEBI:16235";FALSE;NA
"246";"1-stearoylglycerophosphoethanolamine";"69747-55-3";"Lipid";"Lysolipid";"34416";"LC/MS Pos";"5842";"482.3";"9547068";NA;"HMDB0011130";"CHEBI:75036";FALSE;NA
"247";"guanosine";"118-00-3";"Nucleotide";"Purine metabolism, guanine containing";"1573";"LC/MS Neg";"1675";"282.10000000000002";"6802";"C00387";"HMDB0000133";"CHEBI:16750";FALSE;NA
"248";"guanosine 5'- monophosphate (5'-GMP)";"5550-12-9";"Nucleotide";"Purine metabolism, guanine containing";"2849";"LC/MS Pos";"1300";"364";"135414246";NA;NA;NA;FALSE;NA
"249";"gulono-1,4-lactone";"1128-23-0";"Cofactors and vitamins";"Ascorbate and aldarate metabolism";"33454";"GC/MS";"1862";"333.1";"439373, 608";"C01040, C05410";"HMDB0003466, HMDB0243497";"CHEBI:17587, CHEBI:5571";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"250";"heme";"14875-96-8";"Cofactors and vitamins";"Hemoglobin and porphyrin metabolism";"41754";"LC/MS Pos";"5057";"616.20000000000005";"444098";"C00032";"HMDB0003178";"CHEBI:17627, CHEBI:26355, CHEBI:30413, CHEBI:60344";FALSE;NA
"251";"hexanoylcarnitine";"6920-35-0";"Lipid";"Carnitine metabolism";"32328";"LC/MS Pos";"3174";"260.2";"3246938, 4398339, 6426853, 8892";"C01585";"HMDB0000535, HMDB0000705, HMDB0000756, HMDB0061883";"CHEBI:17120, CHEBI:30776, CHEBI:70749, CHEBI:84834";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"252";"hippurate";"495-69-2";"Xenobiotics";"Benzoate metabolism";"15753";"LC/MS Neg";"2136";"178.1";"464, 91637";"C01586";"HMDB0000714, HMDB0011723, HMDB0062583";"CHEBI:18089, CHEBI:606565, CHEBI:68455";FALSE;NA
"253";"histamine";"51-45-6";"Amino acid";"Histidine metabolism";"1574";"GC/MS";"1808";"174.1";"25201573, 774";"C00388";"HMDB0000870, HMDB0060263";"CHEBI:18295, CHEBI:58432";FALSE;NA
"254";"histidine";"5934-29-2";"Amino acid";"Histidine metabolism";"59";"LC/MS Neg";"757";"154.1";"6274, 86580368";"C00135";"HMDB0000177, HMDB0003412";"CHEBI:15971, CHEBI:32513, CHEBI:57595";FALSE;NA
"255";"histidylleucine";"7763-65-7";"Peptide";"Dipeptide";"40061";"LC/MS Pos";"1482";"269.2";"189008, 440549";"C05010";"HMDB0028889, HMDB0253179";"CHEBI:147392, CHEBI:5729";FALSE;NA
"256";"histidylmethionine";"2488-11-1";"None";"None";"41965";"LC/MS Pos";"1025";"287.2";"7408103";NA;"HMDB0028891";"CHEBI:74053";FALSE;NA
"257";"1-stearoylglycerophosphoinositol";"796963-93-4";"Lipid";"Lysolipid";"19324";"LC/MS Neg";"5800";"599.4";NA;NA;NA;NA;FALSE;NA
"258";"histidylphenylalanine";"16874-81-0";"Peptide";"Dipeptide";"42084";"LC/MS Pos";"1730";"303.2";"152198";NA;"HMDB0028892";"CHEBI:141438";FALSE;NA
"259";"histidyltryptophan";"23403-90-9";"Peptide";"Dipeptide";"41912";"LC/MS Pos";"1961";"342.2";"6539217";NA;"HMDB0304782";NA;FALSE;NA
"260";"histidyltyrosine";"35979-00-1";"Peptide";"Dipeptide";"41899";"LC/MS Pos";"1253";"319.2";"515713";NA;"HMDB0028897";"CHEBI:74059";FALSE;NA
"261";"homocysteine";"454-29-5";"Amino acid";"Cysteine, methionine, SAM, taurine metabolism";"40266";"GC/MS";"1648.2";"234";"6971015, 778, 91552";"C00155, C05330";"HMDB0000165, HMDB0000742";"CHEBI:17230, CHEBI:17588, CHEBI:58065, CHEBI:58199";FALSE;NA
"262";"homoserine";"672-15-1";"Amino acid";"Glycine, serine and threonine metabolism";"23642";"GC/MS";"1471";"218.1";"12647";"C00263";"HMDB0000719";"CHEBI:15699, CHEBI:57476";FALSE;NA
"263";"homostachydrine*";"1195-94-4";"Xenobiotics";"Food component/Plant";"33009";"LC/MS Pos";"1199";"158.19999999999999";"441447, 4479243";"C08283";"HMDB0033433, HMDB0304552";"CHEBI:5757";FALSE;NA
"264";"hydantoin-5-propionic acid";"5624-26-0";"Amino acid";"Histidine metabolism";"40473";"LC/MS Neg";"762";"171.3";"782";"C05565";"HMDB0001212";"CHEBI:28297";FALSE;NA
"265";"hydrochlorothiazide";"58-93-5";"Xenobiotics";"Drug";"39625";"LC/MS Neg";"2041.6";"296.10000000000002";"3639";"C07041";"HMDB0001928";"CHEBI:5778";FALSE;NA
"266";"hypotaurine";"300-84-5";"Amino acid";"Cysteine, methionine, SAM, taurine metabolism";"590";"GC/MS";"1598.5";"188";"107812";"C00519";"HMDB0000965";"CHEBI:16668, CHEBI:57853";FALSE;NA
"267";"hypoxanthine";"68-94-0";"Nucleotide";"Purine metabolism, (hypo)xanthine/inosine containing";"3127";"LC/MS Neg";"1313";"135.1";"790";"C00262";"HMDB0000157";"CHEBI:17368";FALSE;NA
"268";"10-heptadecenoate (17:1n7)";"29743-97-3";"Lipid";"Long chain fatty acid";"33971";"LC/MS Neg";"5558";"267.3";"5312435";NA;"HMDB0060038, HMDB0062542";"CHEBI:75094";FALSE;NA
"269";"imidazole propionate";"1074-59-5";"Amino acid";"Histidine metabolism";"40730";"LC/MS Pos";"1011.7";"141.1";"70630";"C20522";"HMDB0002271";"CHEBI:72991, CHEBI:73087";FALSE;NA
"270";"indoleacetate";"6505-45-9";"Amino acid";"Tryptophan metabolism";"27513";"GC/MS";"1862";"202";"801, 802";"C00954";"HMDB0000197, HMDB0302181";"CHEBI:16411, CHEBI:30854";FALSE;NA
"271";"indolelactate";"832-97-3";"Amino acid";"Tryptophan metabolism";"18349";"GC/MS";"1964.9";"202";"676157";"C02043";"HMDB0000671";NA;FALSE;NA
"272";"inosine";"58-63-9";"Nucleotide";"Purine metabolism, (hypo)xanthine/inosine containing";"1123";"LC/MS Neg";"1600";"267.2";"6021";"C00294";"HMDB0000195";"CHEBI:17596";FALSE;NA
"273";"inositol 1-phosphate (I1P)";"106032-59-1";"Lipid";"Inositol metabolism";"1481";"GC/MS";"2057.8000000000002";"318.10000000000002";NA;"C01177";"HMDB0000213";"CHEBI:18297, CHEBI:58433";FALSE;NA
"274";"isobutyrylcarnitine";"25518-49-4";"Amino acid";"Valine, leucine and isoleucine metabolism";"33441";"LC/MS Pos";"1941";"232.2";"10177002, 168379";NA;"HMDB0000736, HMDB0002083, HMDB0062556, HMDB0062606";"CHEBI:73017, CHEBI:84838";FALSE;NA
"275";"isoleucine";"73-32-5";"Amino acid";"Valine, leucine and isoleucine metabolism";"1125";"LC/MS Pos";"1614";"132.1";"6306";"C00407";"HMDB0000172";"CHEBI:17191, CHEBI:58045";FALSE;NA
"276";"isoleucylalanine";"24787-73-3";"Peptide";"Dipeptide";"40046";"LC/MS Pos";"1686";"203.2";"7009577";NA;NA;NA;FALSE;NA
"277";"isoleucylarginine";"55715-01-0";"Peptide";"Dipeptide";"40071";"LC/MS Pos";"1245";"288.2";"9900561";NA;"HMDB0028901";NA;FALSE;NA
"278";"isoleucylglutamate";"42516-53-0";"Peptide";"Dipeptide";"40057";"LC/MS Pos";"1650";"261.2";NA;NA;NA;NA;FALSE;NA
"279";"10-nonadecenoate (19:1n9)";"73033-09-7";"Lipid";"Long chain fatty acid";"33972";"LC/MS Neg";"5775";"295.39999999999998";"5312513";NA;"HMDB0013622, HMDB0062543, HMDB0062658";"CHEBI:83051";FALSE;NA
"280";"isoleucylglycine";"868-28-0";"Peptide";"Dipeptide";"40008";"LC/MS Pos";"1732";"189.2";"342532";NA;"HMDB0028907";NA;FALSE;NA
"281";"isoleucylhistidine";NA;"Peptide";"Dipeptide";"40085";"LC/MS Pos";"1021";"269.2";NA;NA;NA;NA;FALSE;NA
"282";"isoleucylisoleucine";"42537-99-5";"Peptide";"Dipeptide";"36761";"LC/MS Pos";"2678";"245.1";NA;NA;NA;NA;FALSE;NA
"283";"isoleucylmethionine";"42384-14-5";"Peptide";"Dipeptide";"40058";"LC/MS Pos";"2392";"263.2";NA;NA;NA;NA;FALSE;NA
"284";"isoleucylphenylalanine";"22951-98-0";"Peptide";"Dipeptide";"40067";"LC/MS Pos";"3155";"279.2";"435728";NA;"HMDB0028914";NA;FALSE;NA
"285";"isoleucylserine";"6403-14-1";"Peptide";"Dipeptide";"40012";"LC/MS Pos";"1472.5";"219.2";NA;NA;NA;NA;FALSE;NA
"286";"isoleucyltryptophan";"13589-06-5";"Peptide";"Dipeptide";"40079";"LC/MS Pos";"3080";"318.2";"9797038";NA;"HMDB0028918";NA;FALSE;NA
"287";"isoleucyltyrosine";"38579-21-4";"Peptide";"Dipeptide";"40073";"LC/MS Pos";"2300";"295.2";"342468";NA;"HMDB0028919";NA;FALSE;NA
"288";"isoleucylvaline";"41017-96-3";"Peptide";"Dipeptide";"40049";"LC/MS Pos";"2202";"231.2";"449407";NA;NA;NA;FALSE;NA
"289";"isovalerylcarnitine";NA;"Amino acid";"Valine, leucine and isoleucine metabolism";"34407";"LC/MS Pos";"2533";"246.2";"6426851";NA;"HMDB0000688";"CHEBI:73025";FALSE;NA
"290";"13-HODE + 9-HODE";NA;"Lipid";"Fatty acid, monohydroxy";"37752";"LC/MS Neg";"5247";"295.2";NA;NA;NA;NA;FALSE;NA
"291";"kynurenine";"2922-83-0";"Amino acid";"Tryptophan metabolism";"15140";"LC/MS Pos";"1902";"209.1";"161166";"C00328";"HMDB0000183, HMDB0000684";"CHEBI:16946, CHEBI:57959";FALSE;NA
"292";"lactate";"79-33-4";"Carbohydrate";"Glycolysis, gluconeogenesis, pyruvate metabolism";"527";"GC/MS";"1102.8";"116.9";"107689, 5460161";"C00186";"HMDB0000190, HMDB0003328, HMDB0062492";"CHEBI:16651, CHEBI:422";FALSE;NA
"293";"laurate (12:0)";"143-07-7";"Lipid";"Medium chain fatty acid";"1645";"LC/MS Neg";"5288";"199.3";"3893";"C02679";"HMDB0000638";"CHEBI:18262, CHEBI:30805";FALSE;NA
"294";"laurylcarnitine";NA;"Lipid";"Carnitine metabolism";"34534";"LC/MS Pos";"5066";"344.3";"10427569, 168381";NA;"HMDB0002250, HMDB0062713";"CHEBI:73054, CHEBI:77086";TRUE;"completely_incompatible_manual_no_cas"
"295";"leucine";"61-90-5";"Amino acid";"Valine, leucine and isoleucine metabolism";"60";"LC/MS Pos";"1674";"132.19999999999999";"6106";"C00123";"HMDB0000687";"CHEBI:15603, CHEBI:57427";FALSE;NA
"296";"leucylalanine";"7298-84-2";"Peptide";"Dipeptide";"40010";"LC/MS Pos";"1760";"203.2";"81721";NA;"HMDB0028922";"CHEBI:73527";FALSE;NA
"297";"leucylarginine";"26607-15-8";"Peptide";"Dipeptide";"40028";"LC/MS Pos";"1300";"288.2";"3800205";NA;"HMDB0028923";NA;FALSE;NA
"298";"leucylasparagine";"14608-81-2";"Peptide";"Dipeptide";"40052";"LC/MS Pos";"1418";"246.2";"4128305";NA;"HMDB0028924";NA;FALSE;NA
"299";"leucylglutamate";NA;"Peptide";"Dipeptide";"40021";"LC/MS Pos";"1716";"261.2";"5259589, 5259590";NA;"HMDB0028928";NA;TRUE;"completely_incompatible_manual_no_cas"
"300";"leucylglycine";"686-50-0";"Peptide";"Dipeptide";"40045";"LC/MS Pos";"1800";"189.2";"79070";NA;"HMDB0028929";NA;FALSE;NA
"301";"15-methylpalmitate (isobar with 2-methylpalmitate)";NA;"Lipid";"Fatty acid, branched";"38768";"LC/MS Neg";"5698";"269.39999999999998";NA;NA;NA;NA;FALSE;NA
"302";"leucylhistidine";"38062-72-5";"Peptide";"Dipeptide";"40077";"LC/MS Pos";"1056";"269.2";"341684";NA;"HMDB0028931";NA;FALSE;NA
"303";"leucylleucine";"3303-31-9";"Peptide";"Dipeptide";"36756";"LC/MS Pos";"3012";"245.1";"94244";"C11332";"HMDB0028933, HMDB0254039";"CHEBI:191208, CHEBI:6418, CHEBI:73531";FALSE;NA
"304";"leucylmethionine";"36077-39-1";"Peptide";"Dipeptide";"40022";"LC/MS Pos";"2504";"263.2";"118276";NA;"HMDB0028935";NA;FALSE;NA
"305";"leucylphenylalanine";"3063-05-6";"Peptide";"Dipeptide";"40026";"LC/MS Pos";"3308";"279.2";"259325";NA;"HMDB0302841";NA;FALSE;NA
"306";"leucylserine";"6209-12-7";"Peptide";"Dipeptide";"40048";"LC/MS Pos";"1519.7";"219.2";"3621685";NA;"HMDB0028938";NA;FALSE;NA
"307";"leucyltryptophan";"5156-22-9";"Peptide";"Dipeptide";"40034";"LC/MS Pos";"3216";"318.2";"329275";NA;"HMDB0028940";"CHEBI:174310";FALSE;NA
"308";"leucyltyrosine";"968-21-8";"Peptide";"Dipeptide";"40030";"LC/MS Pos";"2413";"295.2";"273262";NA;"HMDB0028941";NA;FALSE;NA
"309";"lidocaine";"137-58-6";"Xenobiotics";"Drug";"35661";"LC/MS Pos";"2761";"235.2";"3676";"C07073";"HMDB0014426";"CHEBI:6456";FALSE;NA
"310";"linoleate (18:2n6)";"60-33-3";"Lipid";"Essential fatty acid";"1105";"LC/MS Neg";"5533";"279.3";"5280450";"C01595";"HMDB0000673";"CHEBI:17351, CHEBI:30245";FALSE;NA
"311";"linolenate [alpha or gamma, (18:3n3 or 6)]";NA;"Lipid";"Essential fatty acid";"34035";"LC/MS Neg";"5450";"277.3";"5280934, 5282822";"C06427";"HMDB0001388";"CHEBI:27432, CHEBI:32387";FALSE;NA
"312";"16-hydroxypalmitate";"506-13-8";"Lipid";"Fatty acid, monohydroxy";"39609";"LC/MS Neg";"5232";"271.3";"10466";"C18218";"HMDB0006294, HMDB0155887";"CHEBI:55328, CHEBI:55329";FALSE;NA
"313";"lipitor";"134523-03-8";"Xenobiotics";"Drug";"38619";"LC/MS Neg";"5091.5";"557.29999999999995";"60823";"C06834";"HMDB0005006";"CHEBI:39548";FALSE;NA
"314";"lysine";"56-87-1";"Amino acid";"Lysine metabolism";"1301";"LC/MS Pos";"603";"147.19999999999999";"5962, 641599";"C00047";"HMDB0000182, HMDB0062809";"CHEBI:18019, CHEBI:32551";FALSE;NA
"315";"lysylleucine";"7369-79-1";"Peptide";"Dipeptide";"40020";"LC/MS Pos";"1546";"260.2";"7016103";NA;"HMDB0028955";"CHEBI:74561";FALSE;NA
"316";"lysyllysine";"13184-13-9";"None";"None";"42090";"LC/MS Pos";"533";"138.19999999999999";"4293571";NA;"HMDB0304785";NA;FALSE;NA
"317";"lysylmethionine";"97729-52-7";"Peptide";"Dipeptide";"41943";"LC/MS Pos";"1013.1";"278.2";"7016114";NA;"HMDB0028957";"CHEBI:74566";FALSE;NA
"318";"lysyltyrosine";"35978-98-4";"Peptide";"Dipeptide";"42089";"LC/MS Pos";"1310";"310.3";"7021820";NA;"HMDB0028963";"CHEBI:73608";FALSE;NA
"319";"malate";"6915-15-7";"Energy";"Krebs cycle";"1303";"GC/MS";"1502";"233";"160434, 222656, 525, 5459792";"C00149";"HMDB0000156, HMDB0000744";"CHEBI:15589, CHEBI:15595, CHEBI:30797, CHEBI:6650";FALSE;NA
"320";"malonylcarnitine";NA;"Lipid";"Fatty acid synthesis";"37059";"LC/MS Pos";"980";"248.1";"22833583, 91825606";NA;"HMDB0002095, HMDB0062496, HMDB0062592";"CHEBI:85470, CHEBI:86047";FALSE;NA
"321";"maltohexaose";"34620-77-4";"Carbohydrate";"Fructose, mannose, galactose, starch, and sucrose metabolism";"35170";"LC/MS Neg";"1224";"989.1";"5288409";"C01936";"HMDB0012253";"CHEBI:61953";FALSE;NA
"322";"maltopentaose";"34620-76-3";"Carbohydrate";"Fructose, mannose, galactose, starch, and sucrose metabolism";"35163";"LC/MS Neg";"1100";"827.1";"13489094, 3710145";"C06218";"HMDB0012254, HMDB0249794";"CHEBI:61952";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"323";"2'-deoxyadenosine 3'-monophosphate";"102832-10-0";"Nucleotide";"Purine metabolism, adenine containing";"40663";"LC/MS Pos";"1383.5";"332.1";"1467";NA;"HMDB0245534";NA;FALSE;NA
"324";"maltose";"6363-53-7";"Carbohydrate";"Fructose, mannose, galactose, starch, and sucrose metabolism";"15804";"GC/MS";"2176.1999999999998";"204.1";"10991489, 439341";"C00208, C00897";"HMDB0000163, HMDB0037138";"CHEBI:18167, CHEBI:47937";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"325";"maltotetraose";"34612-38-9";"Carbohydrate";"Oligosaccharide";"15910";"LC/MS Neg";"965";"665.1";"25147451, 439639, 870";"C00464, C02052";"HMDB0001296, HMDB0029931, HMDB0252767";"CHEBI:143180, CHEBI:28808";FALSE;NA
"326";"maltotriose";"1109-28-0";"Carbohydrate";"Fructose, mannose, galactose, starch, and sucrose metabolism";"15877";"GC/MS";"2419";"204";"192826, 439586, 62698";"C00420, C00721, C01835";"HMDB0001262, HMDB0006857, HMDB0038852";"CHEBI:140999, CHEBI:27931";FALSE;NA
"327";"mannitol";"69-65-8";"Carbohydrate";"Fructose, mannose, galactose, starch, and sucrose metabolism";"15335";"GC/MS";"1839";"319.10000000000002";"6251";"C00392";"HMDB0000765, HMDB0001363";"CHEBI:16899";FALSE;NA
"328";"mannose";"3458-28-4";"Carbohydrate";"Fructose, mannose, galactose, starch, and sucrose metabolism";"584";"GC/MS";"1753.5";"203.9";"185698, 18950";"C00159, C00936";"HMDB0000169";"CHEBI:28729, CHEBI:4208";TRUE;"completely_incompatible_manual_with_cas"
"329";"mannose-6-phosphate";"70442-25-0, 104872-94-8";"Carbohydrate";"Fructose, mannose, galactose, starch, and sucrose metabolism";"1469";"GC/MS";"2004.6";"387.1";"23421200, 439198, 65127";"C00275";"HMDB0001078, HMDB0304312";"CHEBI:48066, CHEBI:49728, CHEBI:58735";FALSE;NA
"330";"margarate (17:0)";"506-12-7";"Lipid";"Long chain fatty acid";"1121";"LC/MS Neg";"5733";"269.3";"10465";NA;"HMDB0002259";"CHEBI:32365, CHEBI:32366";FALSE;NA
"331";"metformin";"1115-70-4";"Xenobiotics";"Drug";"39972";"GC/MS";"1746.4";"284.10000000000002";"4091";"C07151";"HMDB0001921";"CHEBI:6801";FALSE;NA
"332";"methionine";"63-68-3";"Amino acid";"Cysteine, methionine, SAM, taurine metabolism";"1302";"LC/MS Pos";"1252";"150.1";"6137";"C00073";"HMDB0000696";"CHEBI:16643, CHEBI:57844";FALSE;NA
"333";"methionylalanine";"3061-96-9";"Peptide";"Dipeptide";"40685";"LC/MS Pos";"1500";"221.1";NA;NA;NA;NA;FALSE;NA
"334";"1-arachidonoylglycerophosphocholine*";NA;"Lipid";"Lysolipid";"33228";"LC/MS Pos";"5554";"544.29999999999995";NA;"C05208";NA;NA;FALSE;NA
"335";"2'-deoxycytidine 3'-monophosphate";"6220-63-9";"Nucleotide";"Pyrimidine metabolism, cytidine containing";"40453";"LC/MS Pos";"1048";"308";"3274948";NA;"HMDB0062545";NA;FALSE;NA
"336";"methionylasparagine";"36261-61-7";"Peptide";"Dipeptide";"40686";"LC/MS Pos";"1060.3";"264.10000000000002";"333467";NA;"HMDB0028968";NA;FALSE;NA
"337";"methionylaspartate";"14595-65-4";"None";"None";"40687";"LC/MS Pos";"1275.3";"265.10000000000002";NA;NA;NA;NA;FALSE;NA
"338";"methionylglutamate";"14517-44-3";"Peptide";"Dipeptide";"40693";"LC/MS Pos";"1503";"279.10000000000002";NA;NA;NA;NA;FALSE;NA
"339";"methionylglycine";"14486-03-4";"Peptide";"Dipeptide";"40717";"LC/MS Pos";"1478";"207.1";"259185";NA;"HMDB0028973";"CHEBI:174028";FALSE;NA
"340";"methionylleucine";"14486-16-9";"Peptide";"Dipeptide";"40023";"LC/MS Pos";"2698";"263.2";"3425788";NA;"HMDB0028977";NA;FALSE;NA
"341";"methionylphenylalanine";"14492-14-9";"Peptide";"Dipeptide";"41441";"LC/MS Pos";"3042";"297.2";"100048";NA;"HMDB0028980";NA;FALSE;NA
"342";"methyl-alpha-glucopyranoside";"97-30-3";"Xenobiotics";"Chemical";"20714";"LC/MS Pos";"1087";"212.1";"64947";"C02603";NA;NA;TRUE;"completely_incompatible_manual_with_cas"
"343";"methylglutaroylcarnitine";NA;"Amino acid";"Valine, leucine and isoleucine metabolism";"37060";"LC/MS Pos";"1900";"290.10000000000002";"128145";NA;"HMDB0000552";"CHEBI:70857";FALSE;NA
"344";"methylphosphate";"7023-27-0";"Nucleotide";"Purine and pyrimidine metabolism";"37070";"GC/MS";"1221";"240.9";"13130";NA;"HMDB0061711";"CHEBI:340824";FALSE;NA
"345";"metoprolol";"56392-17-7";"Xenobiotics";"Drug";"18037";"LC/MS Pos";"3205";"268.2";"4171";"C07202";"HMDB0001932";"CHEBI:6904";FALSE;NA
"346";"2'-deoxyguanosine";"961-07-9";"Nucleotide";"Purine metabolism, guanine containing";"1411";"LC/MS Pos";"1728";"268";"135398592, 187790";"C00330";"HMDB0000085";"CHEBI:17172";FALSE;NA
"347";"metoprolol acid metabolite*";NA;"Xenobiotics";"Drug";"34109";"LC/MS Pos";"2535";"268.2";"62936";NA;"HMDB0254682";"CHEBI:83478";FALSE;NA
"348";"myo-inositol";"87-89-8";"Lipid";"Inositol metabolism";"19934";"GC/MS";"1924.9";"217";NA;"C00137";"HMDB0000211, HMDB0002256";"CHEBI:17268";FALSE;NA
"349";"myristate (14:0)";"544-63-8";"Lipid";"Long chain fatty acid";"1365";"LC/MS Neg";"5439";"227.3";"11005";"C06424";"HMDB0000806";"CHEBI:28875, CHEBI:30807";FALSE;NA
"350";"myristoleate (14:1n5)";"544-64-9";"Lipid";"Long chain fatty acid";"32418";"LC/MS Neg";"5338";"225.3";"5281119";"C08322";"HMDB0002000";"CHEBI:27781, CHEBI:32370";FALSE;NA
"351";"myristoylcarnitine";"18822-89-4";"Lipid";"Carnitine metabolism";"33952";"LC/MS Pos";"5113";"372.4";"6426854";NA;"HMDB0254979";"CHEBI:73061";FALSE;NA
"352";"naproxen";"22204-53-1";"Xenobiotics";"Drug";"12122";"LC/MS Neg";"4168";"228.9";"156391";"C01517";"HMDB0001923";"CHEBI:7476";FALSE;NA
"353";"nervonate (24:1n9)";"506-37-6";"Lipid";"Long chain fatty acid";"41820";"GC/MS";"2201";"423.4";"5281120";"C08323";"HMDB0002368, HMDB0303950";"CHEBI:32392, CHEBI:44247";FALSE;NA
"354";"nicotinamide";"98-92-0";"Cofactors and vitamins";"Nicotinate and nicotinamide metabolism";"594";"LC/MS Pos";"1267";"123.1";"936";"C00153";"HMDB0001406";"CHEBI:17154";FALSE;NA
"355";"nicotinamide adenine dinucleotide (NAD+)";"53-84-9";"Cofactors and vitamins";"Nicotinate and nicotinamide metabolism";"5278";"LC/MS Pos";"1370";"664";"5892, 5893, 925";"C00003";"HMDB0000902, HMDB0249146";"CHEBI:13389, CHEBI:15846, CHEBI:44215";FALSE;NA
"356";"nicotinamide adenine dinucleotide reduced (NADH)";"58-68-4, 606-68-8";"Cofactors and vitamins";"Nicotinate and nicotinamide metabolism";"31475";"LC/MS Neg";"1554";"664.1";"439153";"C00004";"HMDB0001487";"CHEBI:16908";FALSE;NA
"357";"2'-deoxyinosine";"890-38-0";"Nucleotide";"Purine metabolism, (hypo)xanthine/inosine containing";"15076";"LC/MS Neg";"1700";"251.1";"65058";"C05512";"HMDB0000071";"CHEBI:28997";FALSE;NA
"358";"nicotinamide ribonucleotide (NMN)";"1094-61-7";"Cofactors and vitamins";"Nicotinate and nicotinamide metabolism";"22152";"LC/MS Pos";"886";"335.1";"14180, 14181, 23617374";"C00455";"HMDB0000229, HMDB0059645";"CHEBI:14648, CHEBI:14649, CHEBI:16171";FALSE;NA
"359";"nicotinamide riboside*";"1341-23-7";"Cofactors and vitamins";"Nicotinate and nicotinamide metabolism";"33013";"LC/MS Pos";"955";"255.1";"439924";"C03150";"HMDB0000855";"CHEBI:15927";FALSE;NA
"360";"nicotinate";"59-67-6";"Cofactors and vitamins";"Nicotinate and nicotinamide metabolism";"1504";"LC/MS Neg";"1221";"122.1";"937, 938";"C00253";"HMDB0001488";"CHEBI:15940, CHEBI:32544";FALSE;NA
"361";"nicotinate adenine dinucleotide (NAAD+)";"6450-77-7, 104809-30-5";"Cofactors and vitamins";"Nicotinate and nicotinamide metabolism";"15725";"LC/MS Neg";"1236";"662.9";NA;NA;NA;NA;FALSE;NA
