"";"original_row_id";"Metabolite";"CAS";"SUPER_PATHWAY";"SUB_PATHWAY";"COMP_ID";"PLATFORM";"RI";"MASS";"PUBCHEM";"KEGG";"HMDB";"CHEBI";"manual_correction";"correction_tbl";"row_id";"seed1_type";"seed1_id";"seed2_type";"seed2_id";"pair_compatible";"compatibility_path";"n_seed_ids";"all_seed_ids_compatible"
"70";"28";"N-acetyl-aspartyl-glutamate (NAAG)";"3106-85-2";"Amino acid";"Glutamate metabolism";"35665";"LC/MS Pos";"1563";"305";"5255";"C12270";"HMDB01067";NA;FALSE;NA;28;"KEGG";"C12270";"PUBCHEM";"5255";TRUE;"direct";3;TRUE
"71";"29";"N-acetylalanine";"97-69-8";"Amino acid";"Alanine and aspartate metabolism";"1585";"LC/MS Neg";"882";"130.1";"88064";"C02847";"HMDB00766";NA;TRUE;"keeping_only_compatible_for_partially_compatible_features";29;"HMDB";"HMDB0000766";"KEGG";"C02847";FALSE;"no_match";3;FALSE
"72";"29";"N-acetylalanine";"97-69-8";"Amino acid";"Alanine and aspartate metabolism";"1585";"LC/MS Neg";"882";"130.1";"88064";"C02847";"HMDB00766";NA;TRUE;"keeping_only_compatible_for_partially_compatible_features";29;"HMDB";"HMDB0000766";"PUBCHEM";"88064";TRUE;"direct";3;FALSE
"73";"29";"N-acetylalanine";"97-69-8";"Amino acid";"Alanine and aspartate metabolism";"1585";"LC/MS Neg";"882";"130.1";"88064";"C02847";"HMDB00766";NA;TRUE;"keeping_only_compatible_for_partially_compatible_features";29;"KEGG";"C02847";"PUBCHEM";"88064";FALSE;"no_match";3;FALSE
"74";"30";"N-acetylarginine";"155-84-0";"Amino acid";"Urea cycle, arginine-, proline-, metabolism";"33953";"LC/MS Neg";"1149";"215.2";"67427";"C02562";"HMDB04620";NA;TRUE;"keeping_only_compatible_for_partially_compatible_features";30;"HMDB";"HMDB0004620";"KEGG";"C02562";FALSE;"no_match";3;FALSE
"75";"30";"N-acetylarginine";"155-84-0";"Amino acid";"Urea cycle, arginine-, proline-, metabolism";"33953";"LC/MS Neg";"1149";"215.2";"67427";"C02562";"HMDB04620";NA;TRUE;"keeping_only_compatible_for_partially_compatible_features";30;"HMDB";"HMDB0004620";"PUBCHEM";"67427";TRUE;"direct";3;FALSE
"76";"30";"N-acetylarginine";"155-84-0";"Amino acid";"Urea cycle, arginine-, proline-, metabolism";"33953";"LC/MS Neg";"1149";"215.2";"67427";"C02562";"HMDB04620";NA;TRUE;"keeping_only_compatible_for_partially_compatible_features";30;"KEGG";"C02562";"PUBCHEM";"67427";FALSE;"no_match";3;FALSE
"77";"31";"N-acetylasparagine";"4033-40-3";"Amino acid";"Alanine and aspartate metabolism";"33942";"LC/MS Pos";"974";"175.1";"99715";NA;"HMDB06028";NA;FALSE;NA;31;"HMDB";"HMDB0006028";"PUBCHEM";"99715";TRUE;"direct";2;TRUE
"78";"32";"N-acetylaspartate (NAA)";"997-55-7, 997-55-7";"Amino acid";"Alanine and aspartate metabolism";"22185";"LC/MS Pos";"1222";"176.1";"65065";"C01042";"HMDB00812";NA;FALSE;NA;32;"HMDB";"HMDB0000812";"KEGG";"C01042";TRUE;"direct";3;TRUE
"79";"32";"N-acetylaspartate (NAA)";"997-55-7, 997-55-7";"Amino acid";"Alanine and aspartate metabolism";"22185";"LC/MS Pos";"1222";"176.1";"65065";"C01042";"HMDB00812";NA;FALSE;NA;32;"HMDB";"HMDB0000812";"PUBCHEM";"65065";TRUE;"direct";3;TRUE
"80";"32";"N-acetylaspartate (NAA)";"997-55-7, 997-55-7";"Amino acid";"Alanine and aspartate metabolism";"22185";"LC/MS Pos";"1222";"176.1";"65065";"C01042";"HMDB00812";NA;FALSE;NA;32;"KEGG";"C01042";"PUBCHEM";"65065";TRUE;"direct";3;TRUE
"81";"33";"N-acetylglucosamine";"7512-17-6";"Carbohydrate";"Aminosugars metabolism";"15095";"GC/MS";"1903.3";"245";"24139";"C00140";"HMDB00215";NA;TRUE;"keeping_only_compatible_for_partially_compatible_features";33;"HMDB";"HMDB0000215";"KEGG";"C00140";TRUE;"direct";3;FALSE
"82";"33";"N-acetylglucosamine";"7512-17-6";"Carbohydrate";"Aminosugars metabolism";"15095";"GC/MS";"1903.3";"245";"24139";"C00140";"HMDB00215";NA;TRUE;"keeping_only_compatible_for_partially_compatible_features";33;"HMDB";"HMDB0000215";"PUBCHEM";"24139";FALSE;"no_match";3;FALSE
"83";"33";"N-acetylglucosamine";"7512-17-6";"Carbohydrate";"Aminosugars metabolism";"15095";"GC/MS";"1903.3";"245";"24139";"C00140";"HMDB00215";NA;TRUE;"keeping_only_compatible_for_partially_compatible_features";33;"KEGG";"C00140";"PUBCHEM";"24139";FALSE;"no_match";3;FALSE
"84";"34";"N-acetylglucosamine 6-phosphate";"102029-88-9";"Carbohydrate";"Aminosugars metabolism";"15107";"LC/MS Neg";"628";"300.10000000000002";"440996, 25243963";"C00357";"HMDB02817";NA;TRUE;"keeping_only_compatible_for_partially_compatible_features";34;"HMDB";"HMDB0002817";"KEGG";"C00357";FALSE;"no_match";4;FALSE
