"";"ID";"GeneRatio";"BgRatio";"RichFactor";"FoldEnrichment";"zScore";"pvalue";"p.adjust";"qvalue";"n_Metabolites_in_pathway";"all_metabolites_in_pathway";"n_detected_metabolites_in_pathway";"detected_metabolites_in_pathway";"percentage_detected_metabolites_of_pathway";"ORA_Metabolites_in_pathway";"ORA_metabolites_count";"ORA_percentage_of_Pathway_detected"
"304";"Nucleotide metabolism";"3/37";"19/259";0,157894736842105;1,10526315789474;0,194214567542226;0,529117449295673;0,715951782401722;0,604328714043161;58;"C00002, C00008, C00015, C00020, C00035, C00044, C00055, C00063, C00064, C00075, C00081, C00104, C00105, C00106, C00112, C00119, C00130, C00131, C00144, C00147, C00178, C00206, C00212, C00214, C00239, C00242, C00262, C00286, C00294, C00299, C00330, C00360, C00361, C00362, C00363, C00364, C00365, C00380, C00385, C00387, C00458, C00459, C00460, C00475, C00526, C00559, C00655, C00700, C00705, C00881, C01337, C01344, C01345, C01346, C01762, C03794, C05512, C06196";19;"C00020, C00055, C00064, C00106, C00147, C00178, C00212, C00214, C00242, C00262, C00294, C00299, C00330, C00385, C00387, C00475, C01762, C03794, C05512";32,76;"C00385/C00475/C01762";3;5,17
"305";"Olfactory transduction";NA;NA;NA;NA;NA;NA;NA;NA;4;"C00020, C00144, C00575, C00942";1;"C00020";25;NA;0;0
"306";"One carbon pool by folate";"3/37";"11/259";0,272727272727273;1,90909090909091;1,25548649308181;0,196447709871604;0,4895492346884;0,413224279528441;26;"C00002, C00019, C00021, C00037, C00065, C00073, C00097, C00101, C00114, C00143, C00155, C00212, C00213, C00234, C00364, C00365, C00415, C00440, C00445, C00504, C00576, C00664, C00719, C01026, C02291, C03479";11;"C00021, C00037, C00065, C00073, C00097, C00155, C00212, C00213, C00440, C00719, C01026";42,31;"C00065/C00073/C00440";3;11,54
"307";"Oocyte meiosis";NA;NA;NA;NA;NA;NA;NA;NA;3;"C00410, C00575, C01245";0;NA;0;NA;0;0
"308";"Opioid analgesics";NA;NA;NA;NA;NA;NA;NA;NA;3;"C06173, C11790, C11791";0;NA;0;NA;0;0
"309";"Opioid receptor agonists/antagonists";NA;NA;NA;NA;NA;NA;NA;NA;5;"C16044, C18010, C18095, C18097, C18128";0;NA;0;NA;0;0
"310";"Osteoclast differentiation";NA;NA;NA;NA;NA;NA;NA;NA;1;"C01245";0;NA;0;NA;0;0
"311";"Other carbon fixation pathways";"3/37";"8/259";0,375;2,625;1,90237322951688;0,0904241721979862;0,330515939758157;0,278985649249685;42;"C00022, C00024, C00026, C00033, C00036, C00042, C00048, C00058, C00074, C00083, C00091, C00100, C00101, C00122, C00143, C00149, C00158, C00222, C00227, C00232, C00234, C00237, C00311, C00332, C00417, C00440, C00445, C00566, C00683, C00877, C00894, C00989, C01011, C01013, C01144, C01213, C04348, C05668, C06027, C06028, C11062, C18323";8;"C00042, C00074, C00122, C00149, C00158, C00417, C00440, C00989";19,05;"C00158/C00417/C00440";3;7,14
"312";"Ovarian steroidogenesis";"1/37";"4/259";0,25;1,75;0,61596409368232;0,462325444045142;0,671321877654589;0,56665699702721;24;"C00187, C00219, C00280, C00410, C00468, C00535, C00575, C00639, C00951, C01176, C01227, C01953, C02249, C02530, C04295, C05138, C05301, C05356, C05966, C14209, C14768, C14769, C14770, C14777";4;"C00187, C00219, C00535, C04295";16,67;"C00219";1;4,17
"313";"Oxidative phosphorylation";NA;NA;NA;NA;NA;NA;NA;NA;8;"C00002, C00003, C00004, C00008, C00009, C00042, C00122, C00536";5;"C00003, C00004, C00009, C00042, C00122";62,5;NA;0;0
"314";"Oxytocin signaling pathway";NA;NA;NA;NA;NA;NA;NA;NA;9;"C00165, C00219, C00427, C00575, C00584, C00639, C00942, C01245, C13050";2;"C00219, C00584";22,22;NA;0;0
"315";"Pancreatic cancer";NA;NA;NA;NA;NA;NA;NA;NA;2;"C00416, C05981";0;NA;0;NA;0;0
"316";"Pancreatic secretion";NA;NA;NA;NA;NA;NA;NA;NA;7;"C00165, C00575, C01245, C01353, C01996, C13050, C13051";0;NA;0;NA;0;0
"317";"Pantothenate and CoA biosynthesis";"2/37";"10/259";0,2;1,4;0,525647430207296;0,431275991062865;0,671321877654589;0,56665699702721;30;"C00010, C00022, C00049, C00054, C00097, C00099, C00106, C00141, C00183, C00229, C00429, C00522, C00750, C00831, C00864, C00882, C00966, C01053, C01088, C01134, C02642, C03492, C03688, C04079, C04272, C04352, C05665, C05944, C06010, C18911";10;"C00049, C00097, C00099, C00106, C00183, C00429, C00750, C00864, C00882, C02642";33,33;"C00183/C00864";2;6,67
"318";"Parathyroid hormone synthesis, secretion and action";NA;NA;NA;NA;NA;NA;NA;NA;8;"C00009, C00020, C00165, C00575, C01245, C01561, C01673, C18231";2;"C00009, C00020";25;NA;0;0
"319";"Parkinson disease";"1/37";"4/259";0,25;1,75;0,61596409368232;0,462325444045142;0,671321877654589;0,56665699702721;19;"C00002, C00008, C00009, C00020, C00034, C00082, C00165, C00212, C00355, C00575, C01245, C03758, C04043, C04599, C07593, C11310, C14701, C15231, C17755";4;"C00009, C00020, C00082, C00212";21,05;"C00082";1;5,26
"320";"Pathogenic Escherichia coli infection";NA;NA;NA;NA;NA;NA;NA;NA;3;"C00338, C00350, C00681";0;NA;0;NA;0;0
"321";"Pathways in cancer";"1/37";"7/259";0,142857142857143;1;0;0,664729729001305;0,791700576113914;0,668267616382152;26;"C00039, C00122, C00149, C00165, C00187, C00280, C00410, C00416, C00535, C00575, C00584, C00681, C00735, C00762, C00777, C00951, C01227, C01245, C01471, C03917, C05981, C07653, C15493, C16038, C21641, C21642";7;"C00122, C00149, C00187, C00535, C00584, C00735, C00762";26,92;"C00762";1;3,85
"322";"Pathways of neurodegeneration - multiple diseases";NA;NA;NA;NA;NA;NA;NA;NA;23;"C00002, C00008, C00009, C00012, C00017, C00020, C00025, C00062, C00165, C01245, C01996, C04549, C04599, C07593, C11310, C15231, C16514, C16515, C16845, C21011, C21012, C21013, C21014";4;"C00009, C00020, C00025, C00062";17,39;NA;0;0
"323";"PD-L1 expression and PD-1 checkpoint pathway in cancer";NA;NA;NA;NA;NA;NA;NA;NA;3;"C00165, C01245, C05981";0;NA;0;NA;0;0
"324";"Penicillin and cephalosporin biosynthesis";"1/37";"3/259";0,333333333333333;2,33333333333333;0,946484724300046;0,371485450573316;0,615272777512055;0,519346435834406;18;"C00097, C00183, C00395, C00916, C00956, C02954, C03112, C04712, C05556, C05557, C06564, C06565, C06566, C06567, C06568, C06569, C07756, C15666";3;"C00097, C00183, C00956";16,67;"C00183";1;5,56
"325";"Penicillins";NA;NA;NA;NA;NA;NA;NA;NA;2;"C02954, C06662";0;NA;0;NA;0;0
"326";"Pentose and glucuronate interconversions";NA;NA;NA;NA;NA;NA;NA;NA;59;"C00022, C00026, C00029, C00103, C00111, C00116, C00167, C00181, C00191, C00199, C00204, C00216, C00231, C00259, C00266, C00309, C00310, C00312, C00333, C00379, C00433, C00470, C00474, C00476, C00502, C00508, C00514, C00532, C00558, C00618, C00714, C00789, C00800, C00817, C00905, C01068, C01101, C01508, C01904, C02266, C02273, C02426, C02753, C03033, C03291, C03826, C04053, C04349, C04575, C05385, C05411, C05412, C06118, C06441, C14899, C15930, C20680, C22337, C22712";9;"C00103, C00116, C00181, C00191, C00309, C00310, C00379, C00474, C05411";15,25;NA;0;0
"327";"Pentose phosphate pathway";NA;NA;NA;NA;NA;NA;NA;NA;37;"C00022, C00031, C00085, C00117, C00118, C00119, C00121, C00197, C00198, C00199, C00204, C00221, C00231, C00257, C00258, C00279, C00345, C00354, C00577, C00620, C00631, C00668, C00672, C00673, C01151, C01172, C01182, C01218, C01236, C01801, C02076, C03752, C04442, C05382, C06019, C06473, C20589";8;"C00031, C00121, C00257, C00258, C00345, C00631, C00668, C05382";21,62;NA;0;0
"328";"Peptidoglycan biosynthesis";NA;NA;NA;NA;NA;NA;NA;NA;27;"C00043, C00133, C00448, C00692, C00993, C01050, C01212, C04574, C04631, C04702, C04851, C04877, C04882, C05892, C05893, C05894, C05895, C05896, C05897, C05898, C17541, C17542, C17549, C17550, C17556, C17558, C22053";1;"C00993";3,7;NA;0;0
"329";"Peroxisome proliferator-activated receptor (PPAR) agonists";NA;NA;NA;NA;NA;NA;NA;NA;2;"C17302, C17303";0;NA;0;NA;0;0
"330";"Pertussis";NA;NA;NA;NA;NA;NA;NA;NA;8;"C00002, C00253, C00338, C00374, C00575, C05005, C12505, C19596";1;"C00253";12,5;NA;0;0
"331";"Phagosome";NA;NA;NA;NA;NA;NA;NA;NA;1;"C04549";0;NA;0;NA;0;0
"332";"Phenazine biosynthesis";NA;NA;NA;NA;NA;NA;NA;NA;31;"C00108, C00251, C01748, C01944, C02247, C11848, C12119, C18054, C19830, C19831, C20643, C20981, C20982, C21295, C21408, C21409, C21410, C21411, C21412, C21413, C21442, C21452, C21453, C21473, C21474, C21475, C21476, C21477, C21488, C21489, C21490";0;NA;0;NA;0;0
"333";"Phenylalanine metabolism";"3/37";"7/259";0,428571428571429;3;2,185812841434;0,0626351936429869;0,237118947362736;0,200150054874206;50;"C00022, C00024, C00042, C00079, C00082, C00084, C00091, C00122, C00166, C00423, C00512, C00582, C00596, C00601, C00642, C01198, C01772, C02137, C02232, C02265, C02505, C02763, C03519, C03589, C04044, C04148, C04479, C05332, C05593, C05598, C05607, C05629, C05852, C05853, C06207, C07086, C11457, C11588, C12621, C12622, C12623, C12624, C14144, C14145, C15524, C19945, C19946, C19975, C20062, C23049";7;"C00042, C00079, C00082, C00122, C00642, C03519, C04148";14;"C00079/C00082/C00642";3;6
"334";"Phenylalanine, tyrosine and tryptophan biosynthesis";"2/37";"6/259";0,333333333333333;2,33333333333333;1,34644410428179;0,205549940497269;0,4895492346884;0,413224279528441;35;"C00074, C00078, C00079, C00082, C00108, C00119, C00166, C00230, C00251, C00254, C00279, C00296, C00354, C00441, C00463, C00493, C00587, C00826, C00944, C01094, C01179, C01269, C01302, C02637, C03175, C03506, C04302, C04691, C16848, C16850, C17235, C20327, C20653, C20654, C20710";6;"C00074, C00078, C00079, C00082, C00296, C01094";17,14;"C00079/C00082";2;5,71
"335";"Phenylpropanoid biosynthesis";"2/37";"3/259";0,666666666666667;4,66666666666667;2,60283299182513;0,0543712915443981;0,221667573219469;0,187107683452382;58;"C00079, C00082, C00223, C00315, C00323, C00406, C00411, C00423, C00482, C00540, C00590, C00761, C00811, C00852, C00903, C00933, C01175, C01197, C01494, C01533, C02325, C02646, C02666, C02887, C02947, C04366, C05608, C05610, C05619, C05627, C05855, C06224, C10428, C10434, C10452, C10453, C10454, C10469, C10478, C10945, C12203, C12204, C12205, C12206, C12208, C15804, C15805, C15806, C15807, C16930, C18069, C18070, C18071, C18072, C18073, C20225, C20464, C20465";3;"C00079, C00082, C00315";5,17;"C00079/C00082";2;3,45
"336";"Phosphatidylinositol signaling system";NA;NA;NA;NA;NA;NA;NA;NA;28;"C00137, C00269, C00416, C00641, C01177, C01194, C01204, C01220, C01243, C01245, C01272, C01277, C01284, C03546, C04006, C04062, C04063, C04477, C04549, C04637, C05981, C11174, C11526, C11554, C11555, C11556, C11557, C20690";2;"C00137, C01177";7,14;NA;0;0
"337";"Phospholipase D signaling pathway";NA;NA;NA;NA;NA;NA;NA;NA;10;"C00025, C00165, C00416, C00575, C00639, C00681, C01245, C04637, C05981, C06124";1;"C00025";10;NA;0;0
"338";"Phosphonate and phosphinate metabolism";NA;NA;NA;NA;NA;NA;NA;NA;57;"C00022, C00033, C00037, C00058, C00074, C00084, C00117, C01151, C01438, C02798, C03167, C03557, C04650, C05672, C05673, C05674, C05675, C05676, C05677, C05678, C05679, C05680, C05681, C05682, C05683, C06367, C06368, C06451, C06455, C06456, C06457, C06459, C17940, C17941, C17942, C17943, C17944, C17945, C17947, C17948, C17949, C17950, C17951, C17952, C17960, C17961, C17962, C20396, C20422, C20423, C20440, C20986, C21372, C21403, C21404, C21613, C22696";2;"C00037, C00074";3,51;NA;0;0
"339";"Phosphotransferase system (PTS)";"1/37";"14/259";0,0714285714285714;0,5;-0,783763812819726;0,891279004576296;0,908418985433533;0,766788617297421;57;"C00022, C00031, C00072, C00074, C00089, C00092, C00095, C00124, C00140, C00159, C00185, C00208, C00243, C00275, C00329, C00352, C00354, C00357, C00392, C00644, C00689, C00697, C00794, C01083, C01094, C01096, C01113, C01132, C01451, C01452, C01674, C01697, C01798, C02262, C02713, C02888, C02995, C03752, C04534, C05396, C06186, C06187, C06188, C06311, C06376, C06377, C11544, C16186, C16488, C16489, C16688, C16698, C16699, C20589, C20978, C20979, C21152";14;"C00031, C00072, C00074, C00092, C00095, C00140, C00159, C00208, C00275, C00357, C00392, C00794, C01094, C01096";24,56;"C00208";1;1,75
"340";"Photosynthesis";NA;NA;NA;NA;NA;NA;NA;NA;8;"C00002, C00005, C00006, C00008, C00009, C00034, C02061, C16693";1;"C00009";12,5;NA;0;0
"341";"Phototransduction";NA;NA;NA;NA;NA;NA;NA;NA;5;"C00144, C00305, C00376, C00942, C02110";0;NA;0;NA;0;0
"342";"Phototransduction - fly";NA;NA;NA;NA;NA;NA;NA;NA;9;"C00165, C00219, C01245, C01530, C02112, C18195, C18196, C20428, C20429";2;"C00219, C01530";22,22;NA;0;0
"343";"PI3K-Akt signaling pathway";NA;NA;NA;NA;NA;NA;NA;NA;3;"C00020, C04637, C05981";1;"C00020";33,33;NA;0;0
"344";"Pinene, camphor and geraniol degradation";NA;NA;NA;NA;NA;NA;NA;NA;55;"C00024, C00630, C00808, C00809, C01291, C01499, C01500, C01920, C02759, C02952, C03037, C03069, C03448, C04435, C04675, C07160, C09847, C09848, C09849, C09871, C09880, C09884, C11384, C11386, C11938, C11939, C11940, C11941, C11942, C11943, C11944, C11945, C11946, C11947, C11948, C11949, C11950, C16461, C16462, C16464, C16465, C16466, C16468, C16469, C16470, C16471, C20271, C20320, C20321, C20322, C20323, C20324, C21929, C21930, C22610";0;NA;0;NA;0;0
"345";"Plant hormone signal transduction";NA;NA;NA;NA;NA;NA;NA;NA;13;"C00371, C00805, C00859, C00942, C00954, C02029, C04083, C06082, C06547, C08491, C08814, C11864, C18699";2;"C00805, C00954";15,38;NA;0;0
"346";"Platelet activation";NA;NA;NA;NA;NA;NA;NA;NA;12;"C00002, C00008, C00165, C00219, C00427, C00575, C00942, C01245, C01312, C02198, C05956, C05981";1;"C00219";8,33;NA;0;0
"347";"Polycyclic aromatic hydrocarbon degradation";NA;NA;NA;NA;NA;NA;NA;NA;107;"C00090, C00230, C00587, C00805, C01163, C01198, C01504, C01606, C02274, C03012, C03057, C03164, C03203, C03223, C03233, C04468, C04484, C04783, C06318, C06337, C06680, C06711, C06712, C07535, C07715, C07717, C07718, C07719, C07720, C07721, C07722, C07723, C07724, C07725, C07726, C07727, C07728, C11422, C11425, C11426, C11427, C11428, C11429, C11430, C11431, C11432, C11433, C14315, C14335, C14519, C16149, C16203, C16204, C16205, C16206, C16207, C16208, C16209, C16210, C16211, C16212, C16213, C16214, C16215, C16262, C16263, C16264, C18249, C18250, C18251, C18252, C18253, C18254, C18255, C18256, C18257, C18258, C18259, C18260, C18261, C18262, C18263, C18264, C18265, C18266, C18267, C18269, C18270, C18271, C18272, C18273, C18274, C18275, C18276, C18277, C18278, C18279, C18280, C18281, C18282, C18283, C18284, C18285, C18286, C18314, C21450, C21451";1;"C00805";0,93;NA;0;0
"348";"Polyketide sugar unit biosynthesis";NA;NA;NA;NA;NA;NA;NA;NA;58;"C00103, C00688, C00842, C03187, C03319, C04268, C06017, C06620, C07277, C11447, C11460, C11461, C11907, C11908, C11909, C11910, C11911, C11912, C11915, C11916, C11918, C11919, C11920, C11921, C11922, C11925, C11926, C11927, C11928, C11933, C12318, C12481, C18029, C18030, C18031, C18032, C18033, C18034, C18035, C19947, C19948, C19960, C20156, C20682, C21071, C21073, C21074, C21348, C21349, C21350, C21351, C21352, C21353, C21354, C21355, C21356, C21362, C21363";1;"C00103";1,72;NA;0;0
"349";"Porphyrin metabolism";"1/37";"6/259";0,166666666666667;1,16666666666667;0,168305513035224;0,607299173320973;0,775586896048472;0,654666198253427;146;"C00025, C00032, C00037, C00188, C00194, C00430, C00486, C00500, C00524, C00541, C00748, C00853, C00931, C00992, C01024, C01051, C01079, C01708, C02139, C02191, C02463, C02469, C02800, C02823, C02880, C02987, C03029, C03114, C03179, C03194, C03263, C03373, C03516, C03741, C04122, C04536, C04778, C05306, C05307, C05766, C05767, C05768, C05769, C05770, C05772, C05773, C05774, C05775, C05777, C05778, C05779, C05780, C05781, C05782, C05783, C05784, C05785, C05786, C05787, C05789, C05790, C05791, C05793, C05794, C05795, C05797, C05798, C05912, C05913, C06319, C06320, C06399, C06406, C06407, C06408, C06416, C06503, C06504, C06505, C06506, C06507, C06508, C06509, C06510, C11242, C11243, C11538, C11540, C11542, C11543, C11545, C11630, C11829, C11830, C11831, C11832, C11850, C11851, C12147, C14819, C15670, C15672, C16242, C16243, C16244, C16540, C16541, C17401, C18021, C18022, C18064, C18098, C18151, C18152, C18153, C18154, C18155, C18156, C18157, C18160, C18161, C18162, C18163, C19608, C20666, C21217, C21284, C21427, C21428, C21429, C21431, C21432, C21433, C21434, C21435, C21510, C21511, C21512, C21582, C21723, C21724, C21764, C22338, C22339, C22450, C22451";6;"C00025, C00032, C00037, C00188, C00486, C05793";4,11;"C00188";1;0,68
"350";"Potassium channel blocking and opening drugs";NA;NA;NA;NA;NA;NA;NA;NA;6;"C06855, C13729, C13772, C13776, C13777, C13820";0;NA;0;NA;0;0
"351";"PPAR signaling pathway";NA;NA;NA;NA;NA;NA;NA;NA;5;"C02165, C14762, C14767, C14776, C15493";0;NA;0;NA;0;0
"352";"Primary bile acid biosynthesis";NA;NA;NA;NA;NA;NA;NA;NA;47;"C00037, C00187, C00245, C00695, C01301, C01794, C01921, C02528, C03594, C04554, C04722, C05122, C05337, C05444, C05445, C05446, C05447, C05448, C05449, C05451, C05452, C05453, C05454, C05455, C05460, C05465, C05466, C05467, C05468, C06341, C13550, C15518, C15519, C15520, C15610, C15613, C15614, C17331, C17332, C17333, C17335, C17336, C17337, C17339, C17343, C17345, C17346";6;"C00037, C00187, C00245, C00695, C03594, C17337";12,77;NA;0;0
"353";"Prion disease";NA;NA;NA;NA;NA;NA;NA;NA;2;"C00575, C02140";0;NA;0;NA;0;0
"354";"Prodigiosin biosynthesis";NA;NA;NA;NA;NA;NA;NA;NA;18;"C00083, C00148, C02679, C05223, C12023, C12470, C12483, C21138, C21139, C21565, C21567, C21568, C21569, C21570, C21571, C21572, C21573, C21574";2;"C00148, C02679";11,11;NA;0;0
"355";"Progesterone-mediated oocyte maturation";NA;NA;NA;NA;NA;NA;NA;NA;4;"C00410, C00575, C05981, C11554";0;NA;0;NA;0;0
"356";"Progesterone, androgen and estrogen receptor agonists/antagonists";NA;NA;NA;NA;NA;NA;NA;NA;5;"C00410, C00468, C00535, C00951, C05141";1;"C00535";20;NA;0;0
"357";"Prolactin signaling pathway";"1/37";"3/259";0,333333333333333;2,33333333333333;0,946484724300046;0,371485450573316;0,615272777512055;0,519346435834406;11;"C00002, C00031, C00082, C00092, C00280, C00355, C00410, C00468, C00951, C03758, C05981";3;"C00031, C00082, C00092";27,27;"C00082";1;9,09
"358";"Propanoate metabolism";NA;NA;NA;NA;NA;NA;NA;NA;42;"C00024, C00036, C00042, C00068, C00083, C00091, C00099, C00100, C00109, C00111, C00163, C00186, C00222, C00424, C00479, C00511, C00546, C00583, C00683, C00804, C00827, C00894, C01013, C01213, C02170, C02225, C02335, C02876, C04225, C04593, C05235, C05668, C05979, C05983, C05984, C05989, C06002, C15972, C15973, C21017, C21018, C21250";5;"C00042, C00099, C00186, C00583, C05984";11,9;NA;0;0
"359";"Prostaglandins";NA;NA;NA;NA;NA;NA;NA;NA;2;"C00427, C15450";0;NA;0;NA;0;0
"360";"Prostate cancer";"3/37";"6/259";0,5;3,5;2,52458269552837;0,0396901654783085;0,200340835271462;0,16910596820332;15;"C00025, C00280, C00410, C00504, C00535, C00735, C00762, C00951, C01042, C01227, C03917, C05981, C07653, C12270, C16038";6;"C00025, C00535, C00735, C00762, C01042, C12270";40;"C00762/C01042/C12270";3;20
"361";"Protein digestion and absorption";"10/37";"25/259";0,4;2,8;3,85805849937704;0,000741279746802777;0,0157151306322189;0,0132650059954181;40;"C00025, C00033, C00037, C00041, C00047, C00049, C00062, C00064, C00065, C00073, C00078, C00079, C00082, C00097, C00099, C00123, C00134, C00135, C00146, C00148, C00152, C00163, C00183, C00188, C00246, C00388, C00407, C00463, C00483, C00491, C01327, C01438, C01468, C01672, C01746, C02632, C05996, C08262, C16138, C18319";25;"C00025, C00037, C00041, C00047, C00049, C00062, C00064, C00065, C00073, C00078, C00079, C00082, C00097, C00099, C00123, C00134, C00135, C00148, C00152, C00183, C00188, C00388, C00407, C00491, C01468";62,5;"C00065/C00073/C00079/C00082/C00123/C00135/C00148/C00183/C00188/C00407";10;25
"362";"Proteoglycans in cancer";NA;NA;NA;NA;NA;NA;NA;NA;4;"C00426, C00573, C00607, C00925";0;NA;0;NA;0;0
"363";"Proximal tubule bicarbonate reclamation";NA;NA;NA;NA;NA;NA;NA;NA;9;"C00025, C00026, C00036, C00064, C00074, C00149, C00267, C01353, C01358";4;"C00025, C00064, C00074, C00149";44,44;NA;0;0
"364";"Purine metabolism";"2/37";"17/259";0,117647058823529;0,823529411764706;-0,306706753384575;0,730926212681471;0,833098694024043;0,703211410050086;98;"C00002, C00008, C00020, C00035, C00037, C00039, C00044, C00046, C00048, C00053, C00054, C00059, C00064, C00081, C00086, C00104, C00117, C00119, C00130, C00131, C00144, C00147, C00169, C00206, C00209, C00212, C00224, C00242, C00262, C00286, C00294, C00301, C00330, C00360, C00361, C00362, C00366, C00385, C00387, C00499, C00559, C00575, C00603, C00620, C00655, C00700, C00802, C00942, C01228, C01260, C01261, C01344, C01345, C01367, C01444, C01762, C02091, C02348, C02350, C02353, C02718, C03090, C03373, C03483, C03614, C03794, C03838, C04051, C04376, C04392, C04494, C04640, C04677, C04734, C04751, C04823, C05239, C05512, C05513, C05515, C05516, C05993, C06193, C06194, C06195, C06196, C06197, C06433, C06435, C11821, C12248, C15667, C22395, C22441, C22442, C22443, C22499, C22500";17;"C00020, C00037, C00064, C00086, C00147, C00212, C00242, C00262, C00294, C00330, C00366, C00385, C00387, C01367, C01762, C03794, C05512";17,35;"C00385/C01762";2;2,04
"365";"Pyrimidine metabolism";"2/37";"14/259";0,142857142857143;1;0;0,621817398693623;0,784674336446715;0,662336828182431;66;"C00015, C00039, C00046, C00055, C00063, C00064, C00075, C00086, C00099, C00105, C00106, C00112, C00119, C00169, C00178, C00214, C00222, C00239, C00295, C00299, C00337, C00363, C00364, C00365, C00380, C00383, C00429, C00438, C00458, C00459, C00460, C00475, C00526, C00672, C00705, C00813, C00881, C00941, C01013, C01103, C01168, C01205, C01346, C01368, C01563, C02067, C02170, C02354, C02355, C02376, C02642, C03997, C05281, C05822, C06198, C11038, C11039, C15607, C20231, C20249, C20253, C20254, C20846, C21028, C21029, C22509";14;"C00055, C00064, C00086, C00099, C00106, C00178, C00214, C00299, C00429, C00475, C02067, C02354, C02642, C05822";21,21;"C00475/C02067";2;3,03
"366";"Pyruvate metabolism";NA;NA;NA;NA;NA;NA;NA;NA;32;"C00022, C00024, C00033, C00036, C00042, C00058, C00068, C00074, C00083, C00084, C00122, C00149, C00186, C00227, C00256, C00332, C00424, C00469, C00546, C00937, C01251, C02488, C02504, C03248, C03451, C03981, C05125, C05993, C05994, C15972, C15973, C16255";6;"C00042, C00074, C00122, C00149, C00186, C02504";18,75;NA;0;0
"367";"Quinolones";NA;NA;NA;NA;NA;NA;NA;NA;1;"C14492";0;NA;0;NA;0;0
"368";"Quorum sensing";NA;NA;NA;NA;NA;NA;NA;NA;54;"C00009, C00059, C00232, C00334, C00547, C00788, C01019, C11837, C11841, C11844, C11845, C11848, C16421, C16463, C16640, C18049, C18206, C20643, C20677, C20959, C21195, C21197, C21198, C21199, C21200, C21201, C21202, C21220, C21221, C21222, C21223, C21224, C21225, C21226, C21227, C21228, C21229, C21230, C21231, C21232, C21233, C21234, C21235, C21236, C21237, C21238, C21239, C21241, C21242, C21243, C21244, C21245, C21246, C21382";4;"C00009, C00334, C00788, C01019";7,41;NA;0;0
"369";"Rap1 signaling pathway";NA;NA;NA;NA;NA;NA;NA;NA;4;"C00035, C00044, C00165, C00575";0;NA;0;NA;0;0
"370";"Ras signaling pathway";NA;NA;NA;NA;NA;NA;NA;NA;6;"C00035, C00044, C00165, C00575, C01245, C05981";0;NA;0;NA;0;0
"371";"Regulation of actin cytoskeleton";NA;NA;NA;NA;NA;NA;NA;NA;5;"C00681, C01996, C04637, C05981, C11554";0;NA;0;NA;0;0
"372";"Regulation of lipolysis in adipocytes";"1/37";"6/259";0,166666666666667;1,16666666666667;0,168305513035224;0,607299173320973;0,775586896048472;0,654666198253427;13;"C00020, C00116, C00165, C00212, C00219, C00422, C00547, C00575, C00584, C00788, C00942, C01885, C02140";6;"C00020, C00116, C00212, C00219, C00584, C00788";46,15;"C00219";1;7,69
"373";"Relaxin signaling pathway";NA;NA;NA;NA;NA;NA;NA;NA;4;"C00165, C00575, C01245, C05981";0;NA;0;NA;0;0
"374";"Renal cell carcinoma";NA;NA;NA;NA;NA;NA;NA;NA;2;"C00122, C00149";2;"C00122, C00149";100;NA;0;0
"375";"Renin-angiotensin system";NA;NA;NA;NA;NA;NA;NA;NA;11;"C00873, C02135, C15848, C15849, C15850, C15851, C15852, C20970, C20971, C20972, C20973";0;NA;0;NA;0;0
"376";"Renin-angiotensin system inhibitors";NA;NA;NA;NA;NA;NA;NA;NA;2;"C11711, C11712";0;NA;0;NA;0;0
"377";"Renin secretion";NA;NA;NA;NA;NA;NA;NA;NA;12;"C00002, C00008, C00020, C00212, C00547, C00575, C00584, C00788, C00873, C00942, C01245, C02135";4;"C00020, C00212, C00584, C00788";33,33;NA;0;0
"378";"Retinol metabolism";NA;NA;NA;NA;NA;NA;NA;NA;24;"C00376, C00473, C00777, C00778, C00899, C02075, C02094, C02110, C02588, C03455, C05914, C05915, C05916, C05917, C11061, C15492, C15493, C16677, C16678, C16679, C16680, C16681, C16682, C16683";0;NA;0;NA;0;0
"379";"Retrograde endocannabinoid signaling";"1/37";"5/259";0,2;1,4;0,368012324340017;0,540340967850356;0,715951782401722;0,604328714043161;16;"C00025, C00116, C00157, C00165, C00189, C00219, C00334, C00350, C00427, C00575, C00689, C01245, C11695, C13856, C19912, C19913";5;"C00025, C00116, C00189, C00219, C00334";31,25;"C00219";1;6,25
"380";"Rheumatoid arthritis";NA;NA;NA;NA;NA;NA;NA;NA;2;"C00584, C05443";1;"C00584";50;NA;0;0
"381";"Riboflavin metabolism";"2/37";"3/259";0,666666666666667;4,66666666666667;2,60283299182513;0,0543712915443981;0,221667573219469;0,187107683452382;24;"C00016, C00044, C00061, C00199, C00235, C00255, C00474, C01007, C01268, C01304, C01352, C01390, C01727, C01847, C03114, C04332, C04454, C04732, C05995, C15556, C15563, C18910, C21214, C21215";3;"C00016, C00255, C00474";12,5;"C00016/C00255";2;8,33
"382";"Rifamycins";NA;NA;NA;NA;NA;NA;NA;NA;2;"C14539, C14540";0;NA;0;NA;0;0
"383";"RIG-I-like receptor signaling pathway";NA;NA;NA;NA;NA;NA;NA;NA;1;"C00046";0;NA;0;NA;0;0
"384";"Salivary secretion";NA;NA;NA;NA;NA;NA;NA;NA;8;"C00165, C00547, C00575, C00942, C01245, C01353, C01996, C13050";0;NA;0;NA;0;0
"385";"Salmonella infection";NA;NA;NA;NA;NA;NA;NA;NA;5;"C00338, C01194, C04549, C05981, C11554";0;NA;0;NA;0;0
