"";"KEGG";"InputID_select";"corrected_during_checkmatch";"Metabolite";"manual_correction";"correction_tbl"
"216";"C02504";"KEGG";FALSE;"2-isopropylmalate";FALSE;NA
"217";"C02562";"KEGG";FALSE;"N-acetylarginine";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"218";"C02571";"KEGG";FALSE;"acetylcarnitine";FALSE;NA
"219";"C02603";"KEGG";FALSE;"methyl-alpha-glucopyranoside";TRUE;"completely_incompatible_manual_with_cas"
"220";"C02636";"KEGG";FALSE;"3-dehydrocarnitine*";FALSE;NA
"221";"C02642";"KEGG";FALSE;"3-ureidopropionate";FALSE;NA
"222";"C02678";"KEGG";FALSE;"dodecanedioate";FALSE;NA
"223";"C02679";"KEGG";FALSE;"laurate (12:0)";FALSE;NA
"224";"C02710";"KEGG";FALSE;"N-acetylleucine";FALSE;NA
"225";"C02712";"KEGG";FALSE;"N-acetylmethionine";FALSE;NA
"226";"C02716";"KEGG";FALSE;"N-acetylglutamine";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"227";"C02727";"KEGG";FALSE;"N6-acetyllysine";FALSE;NA
"228";"C02847";"KEGG";FALSE;"N-acetylalanine";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"229";"C02862";"KEGG";FALSE;"butyrylcarnitine";FALSE;NA
"230";"C02979";"KEGG";FALSE;"glycerol 2-phosphate";FALSE;NA
"231";"C03017";"KEGG";FALSE;"propionylcarnitine";FALSE;NA
"232";"C03079, C05947";"C05947";FALSE;"4-hydroxyglutamate";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"233";"C03137";"KEGG";FALSE;"N-acetyltryptophan";TRUE;"completely_incompatible_manual_with_cas"
"234";"C03150";"KEGG";FALSE;"nicotinamide riboside*";FALSE;NA
"235";"C03242, C16522";"C03242";TRUE;"dihomo-linolenate (20:3n3 or n6)";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"236";"C03406";"KEGG";FALSE;"argininosuccinate";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"237";"C03460, C03722";"C03722";TRUE;"quinolinate";FALSE;NA
"238";"C03519";"KEGG";FALSE;"N-acetylphenylalanine";FALSE;NA
"239";"C03594";"KEGG";FALSE;"7-alpha-hydroxycholesterol";FALSE;NA
"240";"C03594";"KEGG";FALSE;"7-beta-hydroxycholesterol";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"241";"C03594";"KEGG";FALSE;"7-alpha-hydroxycholesterol";FALSE;NA
