HMDB,PotentialAdditionalIDs,AllIDs
HMDB0014853,NA,HMDB0014853
HMDB0014879,HMDB0000063,"HMDB0000063, HMDB0014879"
HMDB0015044,NA,HMDB0015044
HMDB0015186,NA,HMDB0015186
HMDB0015470,"HMDB0001895, HMDB0302214","HMDB0001895, HMDB0015470, HMDB0302214"
HMDB0015507,HMDB0000710,"HMDB0000710, HMDB0015507"
HMDB0028687,HMDB0006899,"HMDB0006899, HMDB0028687"
HMDB0028694,NA,HMDB0028694
HMDB0028698,HMDB0013209,"HMDB0013209, HMDB0028698"
HMDB0028713,NA,HMDB0028713
HMDB0028716,NA,HMDB0028716
HMDB0028721,NA,HMDB0028721
HMDB0028722,NA,HMDB0028722
HMDB0028752,NA,HMDB0028752
HMDB0028757,NA,HMDB0028757
HMDB0028760,"HMDB0000706, HMDB0006113","HMDB0000706, HMDB0006113, HMDB0028760"
HMDB0028764,NA,HMDB0028764
HMDB0028766,NA,HMDB0028766
HMDB0028775,HMDB0000078,"HMDB0000078, HMDB0028775"
HMDB0028818,NA,HMDB0028818
HMDB0028830,HMDB0094678,"HMDB0028830, HMDB0094678"
HMDB0028846,NA,HMDB0028846
HMDB0028847,NA,HMDB0028847
HMDB0028851,NA,HMDB0028851
HMDB0028853,NA,HMDB0028853
HMDB0028854,NA,HMDB0028854
HMDB0028889,HMDB0253179,"HMDB0028889, HMDB0253179"
HMDB0028891,NA,HMDB0028891
HMDB0028892,NA,HMDB0028892
HMDB0028897,NA,HMDB0028897
HMDB0028901,NA,HMDB0028901
HMDB0028907,NA,HMDB0028907
HMDB0028914,NA,HMDB0028914
HMDB0028918,NA,HMDB0028918
HMDB0028919,NA,HMDB0028919
HMDB0028922,NA,HMDB0028922
HMDB0028923,NA,HMDB0028923
HMDB0028924,NA,HMDB0028924
HMDB0028928,NA,HMDB0028928
HMDB0028929,NA,HMDB0028929
HMDB0028931,NA,HMDB0028931
HMDB0028933,HMDB0254039,"HMDB0028933, HMDB0254039"
HMDB0028935,NA,HMDB0028935
HMDB0028938,NA,HMDB0028938
HMDB0028940,NA,HMDB0028940
HMDB0028941,NA,HMDB0028941
HMDB0028955,NA,HMDB0028955
HMDB0028957,NA,HMDB0028957
HMDB0028963,NA,HMDB0028963
HMDB0028968,NA,HMDB0028968
HMDB0028973,NA,HMDB0028973
HMDB0028977,NA,HMDB0028977
HMDB0028980,NA,HMDB0028980
HMDB0028988,NA,HMDB0028988
HMDB0028989,NA,HMDB0028989
HMDB0028991,NA,HMDB0028991
HMDB0028994,NA,HMDB0028994
HMDB0029001,NA,HMDB0029001
HMDB0029004,NA,HMDB0029004
HMDB0029006,NA,HMDB0029006
HMDB0029007,NA,HMDB0029007
HMDB0029008,NA,HMDB0029008
HMDB0029018,HMDB0006695,"HMDB0006695, HMDB0029018"
HMDB0029023,NA,HMDB0029023
HMDB0029043,HMDB0094712,"HMDB0029043, HMDB0094712"
HMDB0029052,HMDB0094706,"HMDB0029052, HMDB0094706"
HMDB0029060,NA,HMDB0029060
HMDB0029065,NA,HMDB0029065
HMDB0029067,NA,HMDB0029067
HMDB0029074,NA,HMDB0029074
HMDB0029082,NA,HMDB0029082
HMDB0029087,NA,HMDB0029087
HMDB0029112,NA,HMDB0029112
HMDB0029120,NA,HMDB0029120
HMDB0029123,NA,HMDB0029123
HMDB0029125,NA,HMDB0029125
HMDB0029126,NA,HMDB0029126
HMDB0029129,NA,HMDB0029129
HMDB0029130,NA,HMDB0029130
HMDB0029132,NA,HMDB0029132
HMDB0029133,NA,HMDB0029133
HMDB0029134,NA,HMDB0029134
HMDB0029138,NA,HMDB0029138
HMDB0029139,NA,HMDB0029139
HMDB0029140,NA,HMDB0029140
HMDB0029146,HMDB0001049,"HMDB0001049, HMDB0029146"
HMDB0029148,HMDB0011737,"HMDB0011737, HMDB0029148"
HMDB0029152,HMDB0011170,"HMDB0011170, HMDB0029152"
HMDB0029153,HMDB0011171,"HMDB0011171, HMDB0029153"
HMDB0029162,HMDB0011172,"HMDB0011172, HMDB0029162"
HMDB0029377,NA,HMDB0029377
HMDB0029562,HMDB0000594,"HMDB0000594, HMDB0029562"
HMDB0029881,HMDB0000663,"HMDB0000663, HMDB0029881"
HMDB0029931,"HMDB0001296, HMDB0252767","HMDB0001296, HMDB0029931, HMDB0252767"
HMDB0029945,"HMDB0000044, HMDB0014273","HMDB0000044, HMDB0014273, HMDB0029945"
HMDB0031230,HMDB0062546,"HMDB0031230, HMDB0062546"
HMDB0031818,"HMDB0000138, HMDB0032596","HMDB0000138, HMDB0032596, HMDB0031818"
HMDB0031818,HMDB0000139,"HMDB0000139, HMDB0031818"
HMDB0032596,"HMDB0000138, HMDB0031818","HMDB0000138, HMDB0032596, HMDB0031818"
HMDB0033433,HMDB0304552,"HMDB0033433, HMDB0304552"
HMDB0034174,"HMDB0000301, HMDB0002280","HMDB0000301, HMDB0002280, HMDB0034174"
HMDB0034221,NA,HMDB0034221
HMDB0034366,HMDB0000883,"HMDB0000883, HMDB0034366"
HMDB0036576,"HMDB0000725, HMDB0006055","HMDB0000725, HMDB0006055, HMDB0036576"
HMDB0037138,NA,HMDB0037138
HMDB0038852,"HMDB0001262, HMDB0006857","HMDB0001262, HMDB0006857, HMDB0038852"
HMDB0041993,NA,HMDB0041993
HMDB0059606,HMDB0000043,"HMDB0000043, HMDB0059606"
HMDB0059624,HMDB0000174,"HMDB0000174, HMDB0059624"
HMDB0059645,HMDB0000229,"HMDB0000229, HMDB0059645"
HMDB0059653,"HMDB0000536, HMDB0001332, HMDB0011633","HMDB0000536, HMDB0001332, HMDB0011633, HMDB0059653"
HMDB0059655,NA,HMDB0059655
HMDB0059724,HMDB0061713,"HMDB0059724, HMDB0061713"
HMDB0059750,HMDB0242170,"HMDB0059750, HMDB0242170"
HMDB0059911,NA,HMDB0059911
HMDB0059916,HMDB0000956,"HMDB0000956, HMDB0059916"
HMDB0060015,NA,HMDB0060015
HMDB0060038,HMDB0062542,"HMDB0060038, HMDB0062542"
HMDB0060039,NA,HMDB0060039
HMDB0060082,"HMDB0003229, HMDB0012328","HMDB0003229, HMDB0012328, HMDB0060082"
HMDB0060083,HMDB0000220,"HMDB0000220, HMDB0060083"
HMDB0060102,HMDB0001043,"HMDB0001043, HMDB0060102"
HMDB0060113,"HMDB0001976, HMDB0013123","HMDB0001976, HMDB0060113, HMDB0013123"
HMDB0060149,"HMDB0000149, HMDB0062693","HMDB0000149, HMDB0060149, HMDB0062693"
HMDB0060151,"HMDB0000224, HMDB0012279, HMDB0060152","HMDB0000224, HMDB0012279, HMDB0060151, HMDB0060152"
HMDB0060152,"HMDB0000224, HMDB0012279, HMDB0060151","HMDB0000224, HMDB0012279, HMDB0060151, HMDB0060152"
HMDB0060243,HMDB0001414,"HMDB0001414, HMDB0060243"
HMDB0060254,"HMDB0000098, HMDB0003763","HMDB0000098, HMDB0003763, HMDB0060254"
HMDB0060256,HMDB0242183,"HMDB0060256, HMDB0242183"
HMDB0060259,HMDB0001432,"HMDB0001432, HMDB0060259"
HMDB0060262,"HMDB0000267, HMDB0000805","HMDB0000267, HMDB0000805, HMDB0060262"
HMDB0060263,HMDB0000870,"HMDB0000870, HMDB0060263"
HMDB0060467,NA,HMDB0060467
HMDB0060475,NA,HMDB0060475
HMDB0061112,HMDB0062776,"HMDB0061112, HMDB0062776"
HMDB0061115,NA,HMDB0061115
HMDB0061684,NA,HMDB0061684
HMDB0061694,HMDB0240603,"HMDB0061694, HMDB0240603"
HMDB0061711,NA,HMDB0061711
HMDB0061712,"HMDB0010169, HMDB0012098","HMDB0010169, HMDB0012098, HMDB0061712"
HMDB0061713,HMDB0059724,"HMDB0059724, HMDB0061713"
HMDB0061714,HMDB0062219,"HMDB0061714, HMDB0062219"
HMDB0061715,NA,HMDB0061715
HMDB0061883,HMDB0000535,"HMDB0000535, HMDB0061883"
HMDB0061922,HMDB0003345,"HMDB0003345, HMDB0061922"
HMDB0062009,"HMDB0011567, HMDB0094684","HMDB0011567, HMDB0062009, HMDB0094684"
HMDB0062170,"HMDB0000122, HMDB0304632, HMDB0000516, HMDB0003340, HMDB0006564","HMDB0000122, HMDB0304632, HMDB0000516, HMDB0003340, HMDB0006564, HMDB0062170"
HMDB0062219,HMDB0061714,"HMDB0061714, HMDB0062219"
HMDB0062263,"HMDB0000187, HMDB0000589","HMDB0000187, HMDB0000589, HMDB0062263"
HMDB0062430,HMDB0012458,"HMDB0012458, HMDB0062430"
HMDB0062453,"HMDB0000067, HMDB0000507","HMDB0000067, HMDB0000507, HMDB0062453"
HMDB0062492,"HMDB0000190, HMDB0003328","HMDB0000190, HMDB0003328, HMDB0062492"
HMDB0062496,"HMDB0002095, HMDB0062592","HMDB0002095, HMDB0062496, HMDB0062592"
HMDB0062510,HMDB0002013,"HMDB0002013, HMDB0062510"
HMDB0062511,"HMDB0000482, HMDB0304443","HMDB0000482, HMDB0062511, HMDB0304443"
HMDB0062514,HMDB0000824,"HMDB0000824, HMDB0062514"
HMDB0062524,HMDB0002752,"HMDB0002752, HMDB0062524"
HMDB0062532,HMDB0000848,"HMDB0000848, HMDB0062532"
HMDB0062538,HMDB0001076,"HMDB0001076, HMDB0062538"
HMDB0062541,"HMDB0010380, HMDB0010381, HMDB0010382, HMDB0010383, HMDB0010384, HMDB0010385, HMDB0010387, HMDB0010390, HMDB0010391, HMDB0010392, HMDB0010393, HMDB0010395, HMDB0010396, HMDB0010397, HMDB0010398, HMDB0010399, HMDB0010400, HMDB0010401, HMDB0010402, HMDB0010403, HMDB0010404, HMDB0010405, HMDB0010406, HMDB0010408, HMDB0012108, HMDB0013122, HMDB0094688, HMDB0258493","HMDB0010380, HMDB0010381, HMDB0010382, HMDB0010383, HMDB0010384, HMDB0010385, HMDB0010387, HMDB0010390, HMDB0010391, HMDB0010392, HMDB0010393, HMDB0010395, HMDB0010396, HMDB0010397, HMDB0010398, HMDB0010399, HMDB0010400, HMDB0010401, HMDB0010402, HMDB0010403, HMDB0010404, HMDB0010405, HMDB0010406, HMDB0010408, HMDB0012108, HMDB0013122, HMDB0062541, HMDB0094688, HMDB0258493"
HMDB0062542,HMDB0060038,"HMDB0060038, HMDB0062542"
HMDB0062543,"HMDB0013622, HMDB0062658","HMDB0013622, HMDB0062543, HMDB0062658"
HMDB0062545,NA,HMDB0062545
HMDB0062546,HMDB0031230,"HMDB0031230, HMDB0062546"
HMDB0062556,"HMDB0000736, HMDB0002083, HMDB0062606","HMDB0000736, HMDB0002083, HMDB0062556, HMDB0062606"
HMDB0062557,NA,HMDB0062557
HMDB0062579,HMDB0002183,"HMDB0002183, HMDB0062579"
HMDB0062580,HMDB0002226,"HMDB0002226, HMDB0062580"
HMDB0062583,"HMDB0000714, HMDB0011723","HMDB0000714, HMDB0011723, HMDB0062583"
HMDB0062584,HMDB0000407,"HMDB0000407, HMDB0062584"
HMDB0062587,HMDB0013130,"HMDB0013130, HMDB0062587"
HMDB0062592,"HMDB0002095, HMDB0062496","HMDB0002095, HMDB0062496, HMDB0062592"
HMDB0062606,"HMDB0000736, HMDB0002083, HMDB0062556","HMDB0000736, HMDB0002083, HMDB0062556, HMDB0062606"
HMDB0062620,"HMDB0000943, HMDB0245425","HMDB0000943, HMDB0245425, HMDB0062620"
HMDB0062642,NA,HMDB0062642
HMDB0062645,NA,HMDB0062645
HMDB0062658,"HMDB0013622, HMDB0062543","HMDB0013622, HMDB0062543, HMDB0062658"
HMDB0062660,NA,HMDB0062660
HMDB0062693,"HMDB0000149, HMDB0060149","HMDB0000149, HMDB0060149, HMDB0062693"
HMDB0062698,HMDB0000279,"HMDB0000279, HMDB0062698"
HMDB0062707,"HMDB0000362, HMDB0003391, HMDB0304085","HMDB0000362, HMDB0062707, HMDB0003391, HMDB0304085"
HMDB0062713,HMDB0002250,"HMDB0002250, HMDB0062713"
HMDB0062717,"HMDB0000210, HMDB0250782","HMDB0000210, HMDB0250782, HMDB0062717"
HMDB0062752,NA,HMDB0062752
HMDB0062754,"HMDB0001068, HMDB0258206","HMDB0001068, HMDB0258206, HMDB0062754"
HMDB0062762,HMDB0000517,"HMDB0000517, HMDB0062762"
HMDB0062772,HMDB0005065,"HMDB0005065, HMDB0062772"
HMDB0062776,HMDB0061112,"HMDB0061112, HMDB0062776"
HMDB0062801,HMDB0002639,"HMDB0002639, HMDB0062801"
HMDB0062807,HMDB0000252,"HMDB0000252, HMDB0062807"
HMDB0062809,HMDB0000182,"HMDB0000182, HMDB0062809"
HMDB0062812,HMDB0000026,"HMDB0000026, HMDB0062812"
HMDB0094678,HMDB0028830,"HMDB0028830, HMDB0094678"
HMDB0094684,"HMDB0011567, HMDB0062009","HMDB0011567, HMDB0062009, HMDB0094684"
HMDB0094688,"HMDB0010380, HMDB0010381, HMDB0010382, HMDB0010383, HMDB0010384, HMDB0010385, HMDB0010387, HMDB0010390, HMDB0010391, HMDB0010392, HMDB0010393, HMDB0010395, HMDB0010396, HMDB0010397, HMDB0010398, HMDB0010399, HMDB0010400, HMDB0010401, HMDB0010402, HMDB0010403, HMDB0010404, HMDB0010405, HMDB0010406, HMDB0010408, HMDB0012108, HMDB0013122, HMDB0062541, HMDB0258493","HMDB0010380, HMDB0010381, HMDB0010382, HMDB0010383, HMDB0010384, HMDB0010385, HMDB0010387, HMDB0010390, HMDB0010391, HMDB0010392, HMDB0010393, HMDB0010395, HMDB0010396, HMDB0010397, HMDB0010398, HMDB0010399, HMDB0010400, HMDB0010401, HMDB0010402, HMDB0010403, HMDB0010404, HMDB0010405, HMDB0010406, HMDB0010408, HMDB0012108, HMDB0013122, HMDB0062541, HMDB0094688, HMDB0258493"
HMDB0094689,HMDB0002994,"HMDB0002994, HMDB0094689"
HMDB0094706,HMDB0029052,"HMDB0029052, HMDB0094706"
HMDB0094712,HMDB0029043,"HMDB0029043, HMDB0094712"
HMDB0133489,"HMDB0000291, HMDB0304531","HMDB0000291, HMDB0133489, HMDB0304531"
HMDB0155887,HMDB0006294,"HMDB0006294, HMDB0155887"
HMDB0240209,NA,HMDB0240209
HMDB0240219,"HMDB0003231, HMDB0010377","HMDB0003231, HMDB0240219, HMDB0010377"
HMDB0240312,NA,HMDB0240312
HMDB0240584,"HMDB0000054, HMDB0000488","HMDB0000054, HMDB0000488, HMDB0240584"
HMDB0240603,HMDB0061694,"HMDB0061694, HMDB0240603"
HMDB0240773,"HMDB0000201, HMDB0000456, HMDB0000515","HMDB0000201, HMDB0240773, HMDB0000456, HMDB0000515"
HMDB0240783,NA,HMDB0240783
HMDB0242115,NA,HMDB0242115
HMDB0242116,NA,HMDB0242116
HMDB0242134,NA,HMDB0242134
HMDB0242140,NA,HMDB0242140
HMDB0242149,HMDB0002917,"HMDB0002917, HMDB0242149"
HMDB0242161,HMDB0000729,"HMDB0000729, HMDB0242161"
HMDB0242170,HMDB0059750,"HMDB0059750, HMDB0242170"
HMDB0242183,HMDB0060256,"HMDB0060256, HMDB0242183"
HMDB0243497,NA,HMDB0243497
HMDB0245425,"HMDB0000943, HMDB0062620","HMDB0000943, HMDB0245425, HMDB0062620"
HMDB0245534,NA,HMDB0245534
HMDB0245964,NA,HMDB0245964
HMDB0246835,NA,HMDB0246835
HMDB0247905,NA,HMDB0247905
HMDB0247929,NA,HMDB0247929
HMDB0248010,NA,HMDB0248010
HMDB0248585,NA,HMDB0248585
HMDB0249146,HMDB0000902,"HMDB0000902, HMDB0249146"
HMDB0249369,NA,HMDB0249369
HMDB0249794,HMDB0012254,"HMDB0012254, HMDB0249794"
HMDB0250240,NA,HMDB0250240
HMDB0250712,NA,HMDB0250712
HMDB0250742,NA,HMDB0250742
HMDB0250782,"HMDB0000210, HMDB0062717","HMDB0000210, HMDB0250782, HMDB0062717"
HMDB0252293,HMDB0001248,"HMDB0001248, HMDB0252293"
HMDB0252767,"HMDB0001296, HMDB0029931","HMDB0001296, HMDB0029931, HMDB0252767"
HMDB0252849,NA,HMDB0252849
HMDB0253025,NA,HMDB0253025
HMDB0253179,HMDB0028889,"HMDB0028889, HMDB0253179"
HMDB0254039,HMDB0028933,"HMDB0028933, HMDB0254039"
HMDB0254682,NA,HMDB0254682
HMDB0254979,NA,HMDB0254979
HMDB0255414,HMDB0001067,"HMDB0001067, HMDB0255414"
HMDB0256091,NA,HMDB0256091
HMDB0258206,"HMDB0001068, HMDB0062754","HMDB0001068, HMDB0258206, HMDB0062754"
HMDB0258493,"HMDB0010380, HMDB0010381, HMDB0010382, HMDB0010383, HMDB0010384, HMDB0010385, HMDB0010387, HMDB0010390, HMDB0010391, HMDB0010392, HMDB0010393, HMDB0010395, HMDB0010396, HMDB0010397, HMDB0010398, HMDB0010399, HMDB0010400, HMDB0010401, HMDB0010402, HMDB0010403, HMDB0010404, HMDB0010405, HMDB0010406, HMDB0010408, HMDB0012108, HMDB0013122, HMDB0062541, HMDB0094688","HMDB0010380, HMDB0010381, HMDB0010382, HMDB0010383, HMDB0010384, HMDB0010385, HMDB0010387, HMDB0010390, HMDB0010391, HMDB0010392, HMDB0010393, HMDB0010395, HMDB0010396, HMDB0010397, HMDB0010398, HMDB0010399, HMDB0010400, HMDB0010401, HMDB0010402, HMDB0010403, HMDB0010404, HMDB0010405, HMDB0010406, HMDB0010408, HMDB0012108, HMDB0013122, HMDB0062541, HMDB0094688, HMDB0258493"
HMDB0259337,NA,HMDB0259337
HMDB0259740,NA,HMDB0259740
HMDB0302181,HMDB0000197,"HMDB0000197, HMDB0302181"
HMDB0302211,HMDB0002108,"HMDB0002108, HMDB0302211"
HMDB0302214,"HMDB0001895, HMDB0015470","HMDB0001895, HMDB0015470, HMDB0302214"
HMDB0302754,HMDB0000510,"HMDB0000510, HMDB0302754"
HMDB0302841,NA,HMDB0302841
HMDB0303807,NA,HMDB0303807
HMDB0303950,HMDB0002368,"HMDB0002368, HMDB0303950"
HMDB0304085,"HMDB0000362, HMDB0062707, HMDB0003391","HMDB0000362, HMDB0062707, HMDB0003391, HMDB0304085"
HMDB0304257,NA,HMDB0304257
HMDB0304270,HMDB0001870,"HMDB0001870, HMDB0304270"
HMDB0304312,HMDB0001078,"HMDB0001078, HMDB0304312"
HMDB0304340,HMDB0000250,"HMDB0000250, HMDB0304340"
HMDB0304443,"HMDB0000482, HMDB0062511","HMDB0000482, HMDB0062511, HMDB0304443"
HMDB0304531,"HMDB0000291, HMDB0133489","HMDB0000291, HMDB0133489, HMDB0304531"
HMDB0304552,HMDB0033433,"HMDB0033433, HMDB0304552"
HMDB0304556,NA,HMDB0304556
HMDB0304632,"HMDB0000122, HMDB0000516, HMDB0003340, HMDB0006564, HMDB0062170","HMDB0000122, HMDB0304632, HMDB0000516, HMDB0003340, HMDB0006564, HMDB0062170"
HMDB0304776,NA,HMDB0304776
HMDB0304782,NA,HMDB0304782
HMDB0304785,NA,HMDB0304785
HMDB0304788,NA,HMDB0304788
HMDB0304792,NA,HMDB0304792
