"";"Metabolite";"CAS";"SUPER_PATHWAY";"SUB_PATHWAY";"COMP_ID";"PLATFORM";"RI";"MASS";"PUBCHEM";"KEGG";"HMDB"
"118";"C-glycosyltryptophan*";NA;"Amino acid";"Tryptophan metabolism";"32675";"LC/MS Pos";"1912";"367.1";NA;NA;NA
"119";"Isobar: fructose 1,6-diphosphate, glucose 1,6-diphosphate, myo-inositol 1,4 or 1,3-diphosphate";NA;"Carbohydrate";"Glycolysis, gluconeogenesis, pyruvate metabolism";"36984";"LC/MS Neg";"572";"339";NA;NA;NA
"120";"Isobar: ribulose 5-phosphate, xylulose 5-phosphate";NA;"Carbohydrate";"Nucleotide sugars, pentose metabolism";"37288";"GC/MS";"1935";"357.2";NA;NA;NA
"121";"L-urobilin";"34217-90-8";"Cofactors and vitamins";"Hemoglobin and porphyrin metabolism";"40173";"LC/MS Pos";"4091";"595.4";"440785, 6433298";"C05793";"HMDB04159"
"122";"N-6-trimethyllysine";"23284-33-5";"Amino acid";"Lysine metabolism";"1498";"LC/MS Pos";"650";"189.2";"159659";"C03793";"HMDB01325"
"123";"N-acetyl-aspartyl-glutamate (NAAG)";"3106-85-2";"Amino acid";"Glutamate metabolism";"35665";"LC/MS Pos";"1563";"305";"5255";"C12270";"HMDB01067"
"124";"N-acetylalanine";"97-69-8";"Amino acid";"Alanine and aspartate metabolism";"1585";"LC/MS Neg";"882";"130.1";"88064";"C02847";"HMDB00766"
"125";"N-acetylarginine";"155-84-0";"Amino acid";"Urea cycle, arginine-, proline-, metabolism";"33953";"LC/MS Neg";"1149";"215.2";"67427";"C02562";"HMDB04620"
"126";"N-acetylasparagine";"4033-40-3";"Amino acid";"Alanine and aspartate metabolism";"33942";"LC/MS Pos";"974";"175.1";"99715";NA;"HMDB06028"
"127";"N-acetylaspartate (NAA)";"997-55-7, 997-55-7";"Amino acid";"Alanine and aspartate metabolism";"22185";"LC/MS Pos";"1222";"176.1";"65065";"C01042";"HMDB00812"
"128";"N-acetylglucosamine";"7512-17-6";"Carbohydrate";"Aminosugars metabolism";"15095";"GC/MS";"1903.3";"245";"24139";"C00140";"HMDB00215"
"129";"N-acetylglucosamine 6-phosphate";"102029-88-9";"Carbohydrate";"Aminosugars metabolism";"15107";"LC/MS Neg";"628";"300.10000000000002";"440996, 25243963";"C00357";"HMDB02817"
"130";"N-acetylglutamine";"2490-97-3";"Amino acid";"Glutamate metabolism";"33943";"LC/MS Pos";"1204";"189.1";"182230";"C02716";"HMDB06029"
"131";"N-acetylglycine";"543-24-8";"Amino acid";"Glycine, serine and threonine metabolism";"27710";"GC/MS";"1396.4";"143.9";"10972";NA;"HMDB00532"
"132";"N-acetylisoleucine";NA;"Amino acid";"Valine, leucine and isoleucine metabolism";"33967";"LC/MS Pos";"3370";"174.1";"7036275";NA;NA
"133";"N-acetylleucine";"1188-21-2";"Amino acid";"Valine, leucine and isoleucine metabolism";"1587";"LC/MS Pos";"3444";"174.1";"70912";"C02710";"HMDB11756"
"134";"N-acetylmethionine";"65-82-7";"Amino acid";"Cysteine, methionine, SAM, taurine metabolism";"1589";"LC/MS Pos";"2588";"192.1";"448580";"C02712";"HMDB11745"
"135";"N-acetylneuraminate";"131-48-6";"Carbohydrate";"Aminosugars metabolism";"32377";"LC/MS Neg";"695";"308.10000000000002";NA;"C00270";"HMDB00230"
"136";"N-acetylornithine";"6205-08-9";"Amino acid";"Urea cycle, arginine-, proline-, metabolism";"15630";"LC/MS Pos";"875";"175.2";"439232";"C00437";"HMDB03357"
"137";"N-acetylphenylalanine";"2018-61-3";"Amino acid";"Phenylalanine & tyrosine metabolism";"33950";"LC/MS Neg";"2590";"206.2";"74839";"C03519";"HMDB00512"
"138";"N-acetylserine";"97-14-3";"Amino acid";"Glycine, serine and threonine metabolism";"37076";"GC/MS";"1526";"218";"65249";NA;"HMDB02931"
"139";"N-acetylthreonine";NA;"Amino acid";"Glycine, serine and threonine metabolism";"33939";"LC/MS Neg";"846";"160.1";"152204";"C01118";NA
"140";"N-acetyltryptophan";"1218-34-4";"Amino acid";"Tryptophan metabolism";"33959";"LC/MS Neg";"2650";"245.2";"700653";"C03137";NA
"141";"N-acetyltyrosine";"537-55-3";"Amino acid";"Phenylalanine & tyrosine metabolism";"32390";"LC/MS Neg";"1677";"222.2";"68310";NA;"HMDB00866"
"142";"N-acetylvaline";"96-81-1";"Amino acid";"Valine, leucine and isoleucine metabolism";"1591";"LC/MS Pos";"2654";"160.1";"66789";NA;"HMDB11757"
"143";"N-methylglutamate";"35989-16-3";"Amino acid";"Glutamate metabolism";"31532";"GC/MS";"1665";"260.2";"439377";"C01046";NA
